stadtteil,straftaten_insgesamt_2023,straftaten_insgesamt_2024,straftaten_insgesamt_yoy_pct,raub_2023,raub_2024,raub_yoy_pct,strassenraub_2023,strassenraub_2024,strassenraub_yoy_pct,koerperverletzung_2023,koerperverletzung_2024,koerperverletzung_yoy_pct,gefaehrliche_koerperverletzung_2023,gefaehrliche_koerperverletzung_2024,gefaehrliche_koerperverletzung_yoy_pct,gewaltkriminalitaet_2023,gewaltkriminalitaet_2024,gewaltkriminalitaet_yoy_pct,diebstahl_insgesamt_2023,diebstahl_insgesamt_2024,diebstahl_insgesamt_yoy_pct,wohnungseinbruch_2023,wohnungseinbruch_2024,wohnungseinbruch_yoy_pct,kfz_diebstahl_2023,kfz_diebstahl_2024,kfz_diebstahl_yoy_pct,diebstahl_an_kfz_2023,diebstahl_an_kfz_2024,diebstahl_an_kfz_yoy_pct,fahrraddiebstahl_2023,fahrraddiebstahl_2024,fahrraddiebstahl_yoy_pct,ladendiebstahl_2023,ladendiebstahl_2024,ladendiebstahl_yoy_pct,taschendiebstahl_2023,taschendiebstahl_2024,taschendiebstahl_yoy_pct,sachbeschaedigung_2023,sachbeschaedigung_2024,sachbeschaedigung_yoy_pct,strassenkriminalitaet_2023,strassenkriminalitaet_2024,strassenkriminalitaet_yoy_pct,rauschgift_2023,rauschgift_2024,rauschgift_yoy_pct
Tonndorf,1146.0,1169.0,2.0,15.0,1.0,-93.3,3.0,0.0,-100.0,144.0,138.0,-4.2,33.0,30.0,-9.1,51.0,33.0,-35.3,481.0,434.0,-9.8,39.0,23.0,-41.0,11.0,18.0,63.6,99.0,75.0,-24.2,50.0,51.0,2.0,74.0,57.0,-23.0,30.0,32.0,6.7,110.0,160.0,45.5,15.0,12.0,-20.0,40.0,41.0,2.5
Farmsen-Berne,2659.0,2557.0,-3.8,29.0,15.0,-48.3,13.0,10.0,-23.1,289.0,319.0,10.4,65.0,88.0,35.4,101.0,108.0,6.9,1275.0,1091.0,-14.4,60.0,55.0,-8.3,44.0,23.0,-47.7,164.0,146.0,-11.0,190.0,135.0,-28.9,209.0,161.0,-23.0,179.0,153.0,-14.5,310.0,338.0,9.0,27.0,22.0,-18.5,93.0,68.0,-26.9
Bramfeld,2839.0,2877.0,1.3,20.0,23.0,15.0,9.0,14.0,55.6,356.0,326.0,-8.4,68.0,84.0,23.5,96.0,116.0,20.8,1206.0,1269.0,5.2,71.0,106.0,49.3,42.0,42.0,0.0,172.0,151.0,-12.2,117.0,82.0,-29.9,284.0,242.0,-14.8,82.0,78.0,-4.9,333.0,341.0,2.4,24.0,18.0,-25.0,84.0,60.0,-28.6
Steilshoop,1510.0,1259.0,-16.6,11.0,7.0,-36.4,6.0,5.0,-16.7,173.0,185.0,6.9,38.0,48.0,26.3,51.0,56.0,9.8,684.0,547.0,-20.0,18.0,28.0,55.6,15.0,21.0,40.0,178.0,95.0,-46.6,37.0,30.0,-18.9,63.0,38.0,-39.7,28.0,17.0,-39.3,188.0,150.0,-20.2,13.0,15.0,15.4,55.0,13.0,-76.4
Wellingsbüttel,410.0,402.0,-2.0,4.0,0.0,-100.0,1.0,0.0,-100.0,30.0,30.0,0.0,10.0,11.0,10.0,14.0,13.0,-7.1,187.0,199.0,6.4,26.0,50.0,92.3,6.0,6.0,0.0,29.0,19.0,-34.5,57.0,34.0,-40.4,5.0,13.0,160.0,13.0,12.0,-7.7,61.0,58.0,-4.9,1.0,2.0,100.0,8.0,5.0,-37.5
Sasel,697.0,708.0,1.6,3.0,2.0,-33.3,1.0,0.0,-100.0,66.0,63.0,-4.5,10.0,23.0,130.0,14.0,27.0,92.9,266.0,298.0,12.0,24.0,34.0,41.7,12.0,15.0,25.0,52.0,105.0,101.9,47.0,24.0,-48.9,14.0,5.0,-64.3,13.0,20.0,53.8,107.0,104.0,-2.8,4.0,6.0,50.0,19.0,6.0,-68.4
Poppenbüttel,1649.0,1487.0,-9.8,12.0,5.0,-58.3,8.0,2.0,-75.0,120.0,130.0,8.3,18.0,34.0,88.9,32.0,43.0,34.4,855.0,785.0,-8.2,35.0,39.0,11.4,13.0,9.0,-30.8,70.0,95.0,35.7,108.0,52.0,-51.9,211.0,151.0,-28.4,112.0,119.0,6.3,162.0,187.0,15.4,12.0,7.0,-41.7,45.0,16.0,-64.4
Hummelsbüttel,999.0,825.0,-17.4,4.0,4.0,0.0,0.0,2.0,,165.0,126.0,-23.6,27.0,24.0,-11.1,34.0,30.0,-11.8,363.0,295.0,-18.7,21.0,23.0,9.5,14.0,19.0,35.7,105.0,59.0,-43.8,42.0,21.0,-50.0,28.0,23.0,-17.9,10.0,21.0,110.0,110.0,104.0,-5.5,10.0,6.0,-40.0,29.0,10.0,-65.5
Lemsahl-Mellingstedt,221.0,206.0,-6.8,0.0,0.0,,0.0,0.0,,24.0,12.0,-50.0,10.0,2.0,-80.0,10.0,2.0,-80.0,79.0,92.0,16.5,27.0,17.0,-37.0,4.0,3.0,-25.0,15.0,40.0,166.7,6.0,12.0,100.0,0.0,1.0,,1.0,0.0,-100.0,44.0,42.0,-4.5,0.0,0.0,,8.0,3.0,-62.5
Duvenstedt,194.0,197.0,1.5,2.0,0.0,-100.0,1.0,0.0,-100.0,14.0,24.0,71.4,0.0,3.0,,2.0,3.0,50.0,97.0,81.0,-16.5,22.0,17.0,-22.7,1.0,0.0,-100.0,21.0,13.0,-38.1,9.0,12.0,33.3,8.0,6.0,-25.0,7.0,4.0,-42.9,17.0,17.0,0.0,0.0,2.0,,4.0,0.0,-100.0
Wohldorf-Ohlstedt,175.0,177.0,1.1,1.0,2.0,100.0,1.0,0.0,-100.0,10.0,18.0,80.0,1.0,3.0,200.0,2.0,5.0,150.0,87.0,72.0,-17.2,10.0,12.0,20.0,1.0,0.0,-100.0,23.0,11.0,-52.2,39.0,28.0,-28.2,0.0,0.0,,0.0,0.0,,35.0,42.0,20.0,1.0,0.0,-100.0,5.0,1.0,-80.0
Bergstedt,341.0,314.0,-7.9,2.0,2.0,0.0,0.0,1.0,,52.0,36.0,-30.8,11.0,11.0,0.0,15.0,15.0,0.0,90.0,106.0,17.8,14.0,19.0,35.7,5.0,3.0,-40.0,19.0,32.0,68.4,17.0,20.0,17.6,2.0,4.0,100.0,3.0,4.0,33.3,56.0,43.0,-23.2,2.0,3.0,50.0,14.0,3.0,-78.6
Volksdorf,1155.0,1019.0,-11.8,13.0,7.0,-46.2,12.0,4.0,-66.7,87.0,107.0,23.0,21.0,27.0,28.6,36.0,34.0,-5.6,674.0,462.0,-31.5,55.0,44.0,-20.0,5.0,14.0,180.0,96.0,72.0,-25.0,285.0,97.0,-66.0,14.0,16.0,14.3,27.0,43.0,59.3,133.0,205.0,54.1,3.0,6.0,100.0,19.0,8.0,-57.9
Rahlstedt,6395.0,6526.0,2.0,50.0,37.0,-26.0,21.0,14.0,-33.3,800.0,798.0,-0.3,198.0,201.0,1.5,258.0,253.0,-1.9,2407.0,2356.0,-2.1,164.0,137.0,-16.5,73.0,69.0,-5.5,461.0,454.0,-1.5,299.0,240.0,-19.7,342.0,343.0,0.3,202.0,230.0,13.9,641.0,643.0,0.3,573.0,708.0,23.6,241.0,114.0,-52.7
Lohbrügge,2977.0,2518.0,-15.4,19.0,19.0,0.0,7.0,4.0,-42.9,394.0,366.0,-7.1,92.0,89.0,-3.3,114.0,115.0,0.9,1343.0,1058.0,-21.2,59.0,43.0,-27.1,61.0,41.0,-32.8,239.0,174.0,-27.2,109.0,67.0,-38.5,343.0,276.0,-19.5,131.0,169.0,29.0,254.0,211.0,-16.9,29.0,29.0,0.0,85.0,56.0,-34.1
Bergedorf,4429.0,3368.0,-24.0,37.0,18.0,-51.4,20.0,9.0,-55.0,457.0,419.0,-8.3,102.0,103.0,1.0,149.0,125.0,-16.1,2262.0,1545.0,-31.7,47.0,37.0,-21.3,42.0,13.0,-69.0,207.0,176.0,-15.0,254.0,153.0,-39.8,925.0,511.0,-44.8,194.0,239.0,23.2,359.0,302.0,-15.9,59.0,51.0,-13.6,123.0,80.0,-35.0
Curslack,138.0,119.0,-13.8,0.0,1.0,,0.0,1.0,,30.0,22.0,-26.7,9.0,5.0,-44.4,9.0,6.0,-33.3,34.0,35.0,2.9,2.0,2.0,0.0,1.0,1.0,0.0,7.0,9.0,28.6,3.0,4.0,33.3,1.0,0.0,-100.0,3.0,3.0,0.0,8.0,12.0,50.0,3.0,1.0,-66.7,11.0,1.0,-90.9
Altengamme,42.0,49.0,16.7,0.0,0.0,,0.0,0.0,,7.0,4.0,-42.9,1.0,2.0,100.0,1.0,2.0,100.0,11.0,14.0,27.3,1.0,3.0,200.0,0.0,1.0,,3.0,4.0,33.3,1.0,1.0,0.0,0.0,0.0,,0.0,2.0,,1.0,7.0,600.0,0.0,0.0,,0.0,2.0,
Neuengamme,98.0,76.0,-22.4,0.0,0.0,,0.0,0.0,,13.0,10.0,-23.1,2.0,3.0,50.0,2.0,5.0,150.0,24.0,25.0,4.2,3.0,0.0,-100.0,2.0,0.0,-100.0,3.0,2.0,-33.3,3.0,0.0,-100.0,2.0,2.0,0.0,5.0,5.0,0.0,15.0,16.0,6.7,1.0,0.0,-100.0,4.0,1.0,-75.0
Kirchwerder,272.0,222.0,-18.4,0.0,1.0,,0.0,1.0,,32.0,42.0,31.3,4.0,7.0,75.0,4.0,8.0,100.0,76.0,64.0,-15.8,4.0,3.0,-25.0,5.0,0.0,-100.0,10.0,10.0,0.0,11.0,10.0,-9.1,7.0,5.0,-28.6,3.0,8.0,166.7,33.0,29.0,-12.1,3.0,2.0,-33.3,9.0,0.0,-100.0
Ochsenwerder,73.0,76.0,4.1,0.0,0.0,,0.0,0.0,,8.0,26.0,225.0,1.0,6.0,500.0,1.0,6.0,500.0,19.0,18.0,-5.3,0.0,1.0,,1.0,1.0,0.0,4.0,7.0,75.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,8.0,8.0,0.0,0.0,0.0,,0.0,0.0,
Reitbrook,15.0,10.0,-33.3,0.0,0.0,,0.0,0.0,,0.0,2.0,,0.0,0.0,,0.0,0.0,,7.0,3.0,-57.1,0.0,1.0,,0.0,0.0,,4.0,0.0,-100.0,0.0,2.0,,0.0,0.0,,0.0,0.0,,2.0,0.0,-100.0,0.0,0.0,,0.0,0.0,
Allermöhe,759.0,437.0,-42.4,3.0,1.0,-66.7,1.0,1.0,0.0,25.0,18.0,-28.0,0.0,5.0,,4.0,6.0,50.0,595.0,258.0,-56.6,4.0,3.0,-25.0,9.0,2.0,-77.8,28.0,21.0,-25.0,5.0,0.0,-100.0,0.0,1.0,,6.0,4.0,-33.3,20.0,18.0,-10.0,1.0,10.0,900.0,8.0,13.0,62.5
Billwerder,362.0,401.0,10.8,2.0,3.0,50.0,1.0,0.0,-100.0,64.0,84.0,31.3,18.0,14.0,-22.2,20.0,18.0,-10.0,86.0,75.0,-12.8,4.0,0.0,-100.0,2.0,3.0,50.0,20.0,16.0,-20.0,18.0,6.0,-66.7,0.0,0.0,,2.0,3.0,50.0,25.0,23.0,-8.0,2.0,4.0,100.0,53.0,48.0,-9.4
Moorfleet,262.0,260.0,-0.8,1.0,2.0,100.0,1.0,1.0,0.0,17.0,16.0,-5.9,4.0,4.0,0.0,5.0,7.0,40.0,87.0,118.0,35.6,0.0,2.0,,1.0,1.0,0.0,17.0,19.0,11.8,0.0,3.0,,20.0,54.0,170.0,9.0,12.0,33.3,15.0,15.0,0.0,5.0,12.0,140.0,0.0,1.0,
Tatenberg,33.0,33.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,,0.0,0.0,,0.0,0.0,,13.0,17.0,30.8,0.0,0.0,,0.0,1.0,,1.0,3.0,200.0,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,,6.0,9.0,50.0,0.0,0.0,,0.0,1.0,
Spadenland,21.0,15.0,-28.6,0.0,0.0,,0.0,0.0,,5.0,1.0,-80.0,0.0,1.0,,0.0,1.0,,4.0,0.0,-100.0,0.0,0.0,,1.0,0.0,-100.0,0.0,0.0,,0.0,0.0,,1.0,0.0,-100.0,0.0,0.0,,3.0,0.0,-100.0,0.0,0.0,,1.0,0.0,-100.0
Neuallermöhe,1347.0,1243.0,-7.7,15.0,8.0,-46.7,8.0,2.0,-75.0,228.0,195.0,-14.5,55.0,56.0,1.8,71.0,66.0,-7.0,491.0,391.0,-20.4,19.0,11.0,-42.1,22.0,14.0,-36.4,108.0,73.0,-32.4,70.0,63.0,-10.0,70.0,118.0,68.6,25.0,15.0,-40.0,129.0,140.0,8.5,8.0,4.0,-50.0,58.0,26.0,-55.2
Harburg,8062.0,8327.0,3.3,103.0,74.0,-28.2,42.0,37.0,-11.9,790.0,770.0,-2.5,232.0,233.0,0.4,351.0,314.0,-10.5,3765.0,3807.0,1.1,47.0,49.0,4.3,20.0,23.0,15.0,309.0,343.0,11.0,279.0,265.0,-5.0,1611.0,1483.0,-7.9,434.0,473.0,9.0,366.0,439.0,19.9,316.0,342.0,8.2,483.0,226.0,-53.2
Neuland,237.0,203.0,-14.3,1.0,0.0,-100.0,0.0,0.0,,23.0,17.0,-26.1,7.0,1.0,-85.7,8.0,1.0,-87.5,92.0,61.0,-33.7,1.0,2.0,100.0,4.0,2.0,-50.0,40.0,16.0,-60.0,1.0,3.0,200.0,3.0,6.0,100.0,1.0,1.0,0.0,8.0,14.0,75.0,5.0,4.0,-20.0,3.0,2.0,-33.3
Gut Moor,7.0,9.0,28.6,0.0,0.0,,0.0,0.0,,5.0,0.0,-100.0,0.0,0.0,,0.0,0.0,,1.0,2.0,100.0,1.0,0.0,-100.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.0,2.0,100.0,0.0,0.0,,0.0,0.0,
Wilstorf,1294.0,1216.0,-6.0,9.0,7.0,-22.2,2.0,5.0,150.0,184.0,197.0,7.1,48.0,47.0,-2.1,59.0,54.0,-8.5,545.0,467.0,-14.3,27.0,37.0,37.0,17.0,17.0,0.0,102.0,125.0,22.5,28.0,26.0,-7.1,149.0,56.0,-62.4,23.0,19.0,-17.4,156.0,217.0,39.1,25.0,17.0,-32.0,42.0,17.0,-59.5
Rönneburg,145.0,149.0,2.8,1.0,0.0,-100.0,0.0,0.0,,29.0,22.0,-24.1,9.0,2.0,-77.8,12.0,2.0,-83.3,39.0,49.0,25.6,1.0,6.0,500.0,1.0,5.0,400.0,16.0,14.0,-12.5,4.0,0.0,-100.0,1.0,1.0,0.0,1.0,2.0,100.0,34.0,34.0,0.0,2.0,5.0,150.0,1.0,5.0,400.0
Langenbek,206.0,240.0,16.5,1.0,6.0,500.0,0.0,1.0,,20.0,13.0,-35.0,8.0,4.0,-50.0,9.0,10.0,11.1,63.0,58.0,-7.9,16.0,6.0,-62.5,1.0,3.0,200.0,11.0,13.0,18.2,3.0,3.0,0.0,12.0,11.0,-8.3,2.0,4.0,100.0,42.0,78.0,85.7,0.0,6.0,,4.0,3.0,-25.0
Sinstorf,181.0,177.0,-2.2,0.0,0.0,,0.0,0.0,,32.0,31.0,-3.1,5.0,8.0,60.0,5.0,8.0,60.0,57.0,64.0,12.3,6.0,6.0,0.0,4.0,6.0,50.0,18.0,17.0,-5.6,3.0,3.0,0.0,1.0,0.0,-100.0,1.0,3.0,200.0,12.0,16.0,33.3,0.0,1.0,,6.0,1.0,-83.3
Marmstorf,370.0,381.0,3.0,2.0,2.0,0.0,1.0,2.0,100.0,50.0,38.0,-24.0,10.0,5.0,-50.0,13.0,8.0,-38.5,148.0,140.0,-5.4,16.0,19.0,18.8,7.0,9.0,28.6,38.0,25.0,-34.2,9.0,4.0,-55.6,12.0,13.0,8.3,10.0,8.0,-20.0,38.0,66.0,73.7,4.0,3.0,-25.0,13.0,4.0,-69.2
Eißendorf,1145.0,1155.0,0.9,9.0,14.0,55.6,3.0,8.0,166.7,177.0,139.0,-21.5,52.0,32.0,-38.5,61.0,49.0,-19.7,443.0,436.0,-1.6,66.0,58.0,-12.1,13.0,10.0,-23.1,84.0,83.0,-1.2,38.0,42.0,10.5,44.0,23.0,-47.7,19.0,22.0,15.8,126.0,181.0,43.7,8.0,8.0,0.0,31.0,13.0,-58.1
Heimfeld,2034.0,1817.0,-10.7,14.0,17.0,21.4,5.0,8.0,60.0,292.0,230.0,-21.2,56.0,45.0,-19.6,76.0,65.0,-14.5,851.0,715.0,-16.0,40.0,57.0,42.5,15.0,20.0,33.3,326.0,198.0,-39.3,62.0,71.0,14.5,58.0,33.0,-43.1,29.0,24.0,-17.2,174.0,192.0,10.3,29.0,41.0,41.4,57.0,42.0,-26.3
Moorburg,72.0,55.0,-23.6,1.0,1.0,0.0,1.0,0.0,-100.0,9.0,6.0,-33.3,2.0,2.0,0.0,3.0,3.0,0.0,24.0,20.0,-16.7,1.0,4.0,300.0,0.0,0.0,,6.0,3.0,-50.0,2.0,2.0,0.0,0.0,0.0,,0.0,1.0,,7.0,10.0,42.9,3.0,0.0,-100.0,4.0,4.0,0.0
Altenwerder,64.0,73.0,14.1,1.0,0.0,-100.0,0.0,0.0,,17.0,14.0,-17.6,2.0,4.0,100.0,3.0,4.0,33.3,22.0,24.0,9.1,0.0,0.0,,1.0,1.0,0.0,5.0,4.0,-20.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,,5.0,3.0,-40.0,2.0,4.0,100.0,4.0,5.0,25.0
Hausbruch,1077.0,1006.0,-6.6,12.0,3.0,-75.0,2.0,0.0,-100.0,130.0,144.0,10.8,23.0,37.0,60.9,37.0,43.0,16.2,440.0,454.0,3.2,45.0,45.0,0.0,8.0,18.0,125.0,45.0,88.0,95.6,54.0,39.0,-27.8,124.0,109.0,-12.1,14.0,29.0,107.1,110.0,98.0,-10.9,12.0,14.0,16.7,35.0,14.0,-60.0
Neugraben-Fischbek,2532.0,2533.0,0.0,12.0,16.0,33.3,4.0,8.0,100.0,367.0,365.0,-0.5,92.0,86.0,-6.5,108.0,108.0,0.0,1101.0,1173.0,6.5,62.0,89.0,43.5,23.0,21.0,-8.7,131.0,129.0,-1.5,197.0,129.0,-34.5,280.0,321.0,14.6,66.0,111.0,68.2,265.0,311.0,17.4,18.0,26.0,44.4,115.0,43.0,-62.6
Francop,13.0,21.0,61.5,0.0,0.0,,0.0,0.0,,0.0,5.0,,0.0,0.0,,0.0,0.0,,2.0,5.0,150.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,3.0,,0.0,0.0,,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,,1.0,0.0,-100.0
Neuenfelde,173.0,202.0,16.8,0.0,1.0,,0.0,0.0,,33.0,41.0,24.2,3.0,12.0,300.0,4.0,13.0,225.0,38.0,52.0,36.8,6.0,2.0,-66.7,0.0,1.0,,6.0,12.0,100.0,1.0,8.0,700.0,3.0,4.0,33.3,0.0,0.0,,20.0,30.0,50.0,1.0,0.0,-100.0,7.0,5.0,-28.6
Cranz,15.0,26.0,73.3,0.0,0.0,,0.0,0.0,,3.0,11.0,266.7,2.0,2.0,0.0,2.0,2.0,0.0,7.0,7.0,0.0,1.0,0.0,-100.0,2.0,0.0,-100.0,1.0,0.0,-100.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,,0.0,3.0,
