stadtteil,bezirk,straftaten_2024,straftaten_2023,aufklaerungsquote_2024,aufklaerungsquote_2023
Bergstedt,Wandsbek,14.0,14.0,100.0,3.0
Volksdorf,Wandsbek,19.0,17.0,89.5,8.0
Rahlstedt,Wandsbek,241.0,222.0,92.1,114.0
Wandsbek,Wandsbek,1046.0,957.0,91.5,592.0
Lohbrügge,Bergedorf,85.0,80.0,94.1,56.0
Bergedorf,Bergedorf,123.0,116.0,94.3,80.0
Curslack,Bergedorf,11.0,11.0,100.0,1.0
Altengamme,Bergedorf,0.0,0.0,,2.0
Neuengamme,Bergedorf,4.0,4.0,100.0,1.0
Kirchwerder,Bergedorf,9.0,8.0,88.9,0.0
Ochsenwerder,Bergedorf,0.0,0.0,,0.0
Reitbrook,Bergedorf,0.0,0.0,,0.0
Allermöhe,Bergedorf,8.0,5.0,62.5,13.0
Billwerder,Bergedorf,53.0,35.0,66.0,48.0
Moorfleet,Bergedorf,0.0,0.0,,1.0
Tatenberg,Bergedorf,0.0,0.0,,1.0
Spadenland,Bergedorf,1.0,1.0,100.0,0.0
Neuallermöhe,Bergedorf,58.0,50.0,86.2,26.0
Bergedorf,Bergedorf,352.0,310.0,88.1,229.0
Harburg,Bergedorf,483.0,455.0,94.2,226.0
Neuland,Bergedorf,3.0,3.0,100.0,2.0
Gut Moor,Bergedorf,0.0,0.0,,0.0
Wilstorf,Bergedorf,42.0,37.0,88.1,17.0
Rönneburg,Bergedorf,1.0,0.0,0.0,5.0
Langenbek,Bergedorf,4.0,4.0,100.0,3.0
Sinstorf,Bergedorf,6.0,5.0,83.3,1.0
Marmstorf,Bergedorf,13.0,13.0,100.0,4.0
Eißendorf,Bergedorf,31.0,26.0,83.9,13.0
Heimfeld,Bergedorf,57.0,44.0,77.2,42.0
Moorburg,Bergedorf,4.0,3.0,75.0,4.0
Altenwerder,Bergedorf,4.0,3.0,75.0,5.0
Hausbruch,Bergedorf,35.0,33.0,94.3,14.0
Neugraben-Fischbek,Bergedorf,115.0,107.0,93.0,43.0
Francop,Bergedorf,1.0,1.0,100.0,0.0
Neuenfelde,Bergedorf,7.0,6.0,85.7,5.0
Cranz,Bergedorf,0.0,0.0,,3.0
Harburg,Bergedorf,806.0,740.0,91.8,387.0
Bezirk Hamburg-Mitte,Hamburg-Mitte,9193.0,8817.0,95.9,5811.0
Bezirk Altona,Hamburg-Mitte,1438.0,1355.0,94.2,750.0
Eimsbüttel,Hamburg-Mitte,516.0,472.0,91.5,185.0
Bezirk Nord,Hamburg-Mitte,875.0,728.0,83.2,429.0
Wandsbek,Hamburg-Mitte,801.0,733.0,91.5,341.0
Bergedorf,Hamburg-Mitte,301.0,268.0,89.0,134.0
Harburg,Hamburg-Mitte,688.0,639.0,92.9,258.0
Bezirke insgesamt,Hamburg-Mitte,13812.0,13012.0,94.2,7908.0
Hamburg unbekannt,Hamburg-Mitte,100.0,94.0,94.0,52.0
Tatort unbekannt,Hamburg-Mitte,8.0,6.0,75.0,8.0
Hamburg insgesamt,Hamburg-Mitte,13920.0,13112.0,94.2,7968.0
Hamburg-Altstadt,Hamburg-Mitte,587.0,578.0,98.5,146.0
HafenCity,Hamburg-Mitte,15.0,15.0,100.0,5.0
Neustadt,Hamburg-Mitte,309.0,279.0,90.3,83.0
St. Pauli,Hamburg-Mitte,1422.0,1299.0,91.4,698.0
St. Georg,Hamburg-Mitte,5795.0,5649.0,97.5,4415.0
Hammerbrook,Hamburg-Mitte,372.0,365.0,98.1,118.0
Borgfelde,Hamburg-Mitte,22.0,20.0,90.9,18.0
Hamm,Hamburg-Mitte,82.0,75.0,91.5,71.0
Horn,Hamburg-Mitte,112.0,104.0,92.9,54.0
Billstedt,Hamburg-Mitte,233.0,215.0,92.3,94.0
Billbrook,Hamburg-Mitte,16.0,15.0,93.8,10.0
Rothenburgsort,Hamburg-Mitte,25.0,23.0,92.0,21.0
Veddel,Hamburg-Mitte,22.0,20.0,90.9,6.0
Wilhelmsburg,Hamburg-Mitte,153.0,135.0,88.2,63.0
Kleiner Grasbrook,Hamburg-Mitte,9.0,8.0,88.9,3.0
Steinwerder,Hamburg-Mitte,5.0,5.0,100.0,0.0
Waltershof,Hamburg-Mitte,5.0,3.0,60.0,0.0
Finkenwerder,Hamburg-Mitte,9.0,9.0,100.0,6.0
Insel Neuwerk,Hamburg-Mitte,0.0,0.0,,0.0
Bezirk Hamburg-Mitte,Hamburg-Mitte,9193.0,8817.0,95.9,5811.0
Altona-Altstadt,Altona,468.0,454.0,97.0,384.0
Sternschanze,Altona,404.0,385.0,95.3,108.0
Altona-Nord,Altona,192.0,176.0,91.7,130.0
Ottensen,Altona,81.0,74.0,91.4,36.0
Bahrenfeld,Altona,153.0,138.0,90.2,40.0
Groß Flottbek,Altona,7.0,7.0,100.0,1.0
Othmarschen,Altona,18.0,16.0,88.9,4.0
Lurup,Altona,38.0,36.0,94.7,18.0
Osdorf,Altona,36.0,32.0,88.9,20.0
Nienstedten,Altona,2.0,2.0,100.0,1.0
Blankenese,Altona,13.0,12.0,92.3,2.0
Iserbrook,Altona,6.0,5.0,83.3,1.0
Sülldorf,Altona,11.0,9.0,81.8,2.0
Rissen,Altona,9.0,9.0,100.0,3.0
Bezirk Altona,Altona,1438.0,1355.0,94.2,750.0
Eimsbüttel,Altona,175.0,165.0,94.3,43.0
Rotherbaum,Altona,32.0,30.0,93.8,22.0
Harvestehude,Altona,23.0,23.0,100.0,4.0
Hoheluft-West,Altona,31.0,25.0,80.6,11.0
Lokstedt,Altona,30.0,26.0,86.7,17.0
Niendorf,Altona,37.0,33.0,89.2,27.0
Schnelsen,Altona,46.0,41.0,89.1,14.0
