stadtteil,bezirk,straftaten_2024,straftaten_2023,aufklaerungsquote_2024,aufklaerungsquote_2023
Eidelstedt,Altona,85.0,78.0,91.8,22.0
Stellingen,Altona,57.0,51.0,89.5,25.0
Eimsbüttel,Altona,516.0,472.0,91.5,185.0
Hoheluft-Ost,Wandsbek,14.0,14.0,100.0,2.0
Eppendorf,Wandsbek,39.0,31.0,79.5,24.0
Groß Borstel,Wandsbek,9.0,9.0,100.0,2.0
Alsterdorf,Wandsbek,24.0,23.0,95.8,14.0
Winterhude,Wandsbek,67.0,62.0,92.5,37.0
Uhlenhorst,Wandsbek,34.0,34.0,100.0,19.0
Hohenfelde,Wandsbek,33.0,32.0,97.0,23.0
Barmbek-Süd,Wandsbek,67.0,62.0,92.5,39.0
Dulsberg,Wandsbek,157.0,131.0,83.4,71.0
Barmbek-Nord,Wandsbek,95.0,87.0,91.6,45.0
Ohlsdorf,Wandsbek,203.0,119.0,58.6,86.0
Fuhlsbüttel,Wandsbek,44.0,39.0,88.6,21.0
Langenhorn,Wandsbek,89.0,85.0,95.5,46.0
Bezirk Nord,Wandsbek,875.0,728.0,83.2,429.0
Eilbek,Wandsbek,52.0,48.0,92.3,17.0
Wandsbek,Wandsbek,117.0,105.0,89.7,55.0
Marienthal,Wandsbek,37.0,36.0,97.3,25.0
Jenfeld,Wandsbek,90.0,85.0,94.4,39.0
Tonndorf,Wandsbek,26.0,24.0,92.3,22.0
Farmsen-Berne,Wandsbek,69.0,65.0,94.2,44.0
Bramfeld,Wandsbek,61.0,57.0,93.4,38.0
Steilshoop,Wandsbek,40.0,38.0,95.0,9.0
Wellingsbüttel,Wandsbek,5.0,5.0,100.0,2.0
Sasel,Wandsbek,13.0,12.0,92.3,3.0
Poppenbüttel,Wandsbek,31.0,24.0,77.4,9.0
Hummelsbüttel,Wandsbek,25.0,22.0,88.0,6.0
Lemsahl-Mellingstedt,Wandsbek,5.0,4.0,80.0,0.0
Duvenstedt,Wandsbek,2.0,1.0,50.0,0.0
Wohldorf-Ohlstedt,Wandsbek,4.0,4.0,100.0,1.0
Bergstedt,Wandsbek,12.0,12.0,100.0,2.0
Volksdorf,Wandsbek,18.0,16.0,88.9,6.0
Rahlstedt,Wandsbek,194.0,175.0,90.2,63.0
Wandsbek,Wandsbek,801.0,733.0,91.5,341.0
Lohbrügge,Bergedorf,67.0,65.0,97.0,33.0
Bergedorf,Bergedorf,107.0,100.0,93.5,54.0
Curslack,Bergedorf,10.0,10.0,100.0,0.0
Altengamme,Bergedorf,0.0,0.0,,2.0
Neuengamme,Bergedorf,3.0,3.0,100.0,1.0
Kirchwerder,Bergedorf,8.0,7.0,87.5,0.0
Ochsenwerder,Bergedorf,0.0,0.0,,0.0
Reitbrook,Bergedorf,0.0,0.0,,0.0
Allermöhe,Bergedorf,5.0,5.0,100.0,2.0
Billwerder,Bergedorf,52.0,34.0,65.4,32.0
Moorfleet,Bergedorf,0.0,0.0,,0.0
Tatenberg,Bergedorf,0.0,0.0,,0.0
Spadenland,Bergedorf,1.0,1.0,100.0,0.0
Neuallermöhe,Bergedorf,48.0,43.0,89.6,10.0
Bergedorf,Bergedorf,301.0,268.0,89.0,134.0
Harburg,Bergedorf,411.0,391.0,95.1,153.0
Neuland,Bergedorf,2.0,2.0,100.0,1.0
Gut Moor,Bergedorf,0.0,0.0,,0.0
Wilstorf,Bergedorf,33.0,29.0,87.9,12.0
Rönneburg,Bergedorf,0.0,0.0,,4.0
Langenbek,Bergedorf,3.0,3.0,100.0,3.0
Sinstorf,Bergedorf,6.0,5.0,83.3,1.0
Marmstorf,Bergedorf,11.0,11.0,100.0,2.0
Eißendorf,Bergedorf,25.0,22.0,88.0,3.0
Heimfeld,Bergedorf,49.0,37.0,75.5,34.0
Moorburg,Bergedorf,3.0,2.0,66.7,2.0
Altenwerder,Bergedorf,2.0,2.0,100.0,1.0
Hausbruch,Bergedorf,33.0,31.0,93.9,8.0
Neugraben-Fischbek,Bergedorf,103.0,97.0,94.2,31.0
Francop,Bergedorf,1.0,1.0,100.0,0.0
Neuenfelde,Bergedorf,6.0,6.0,100.0,2.0
Cranz,Bergedorf,0.0,0.0,,1.0
Harburg,Bergedorf,688.0,639.0,92.9,258.0
Bezirk Hamburg-Mitte,Hamburg-Mitte,1307.0,1151.0,88.1,1050.0
Bezirk Altona,Hamburg-Mitte,365.0,332.0,91.0,202.0
Eimsbüttel,Hamburg-Mitte,104.0,86.0,82.7,32.0
Bezirk Nord,Hamburg-Mitte,169.0,133.0,78.7,85.0
Wandsbek,Hamburg-Mitte,140.0,121.0,86.4,78.0
Bergedorf,Hamburg-Mitte,39.0,31.0,79.5,55.0
Harburg,Hamburg-Mitte,74.0,62.0,83.8,63.0
Bezirke insgesamt,Hamburg-Mitte,2198.0,1916.0,87.2,1565.0
Hamburg unbekannt,Hamburg-Mitte,118.0,77.0,65.3,94.0
Tatort unbekannt,Hamburg-Mitte,11.0,5.0,45.5,9.0
Hamburg insgesamt,Hamburg-Mitte,2327.0,1998.0,85.9,1668.0
Hamburg-Altstadt,Hamburg-Mitte,58.0,55.0,94.8,16.0
HafenCity,Hamburg-Mitte,3.0,2.0,66.7,2.0
Neustadt,Hamburg-Mitte,35.0,35.0,100.0,21.0
St. Pauli,Hamburg-Mitte,360.0,257.0,71.4,298.0
St. Georg,Hamburg-Mitte,718.0,687.0,95.7,593.0
Hammerbrook,Hamburg-Mitte,25.0,22.0,88.0,12.0
Borgfelde,Hamburg-Mitte,7.0,7.0,100.0,2.0
Hamm,Hamburg-Mitte,11.0,10.0,90.9,8.0
Horn,Hamburg-Mitte,19.0,17.0,89.5,18.0
Billstedt,Hamburg-Mitte,42.0,37.0,88.1,32.0
Billbrook,Hamburg-Mitte,2.0,0.0,0.0,0.0
Rothenburgsort,Hamburg-Mitte,2.0,2.0,100.0,2.0
Veddel,Hamburg-Mitte,2.0,2.0,100.0,8.0
Wilhelmsburg,Hamburg-Mitte,19.0,14.0,73.7,33.0
Kleiner Grasbrook,Hamburg-Mitte,0.0,0.0,,1.0
Steinwerder,Hamburg-Mitte,2.0,2.0,100.0,2.0
Waltershof,Hamburg-Mitte,1.0,1.0,100.0,1.0
Finkenwerder,Hamburg-Mitte,1.0,1.0,100.0,1.0
Insel Neuwerk,Hamburg-Mitte,0.0,0.0,,0.0
Bezirk Hamburg-Mitte,Hamburg-Mitte,1307.0,1151.0,88.1,1050.0
Altona-Altstadt,Altona,82.0,76.0,92.7,66.0
Sternschanze,Altona,198.0,182.0,91.9,87.0
Altona-Nord,Altona,29.0,23.0,79.3,18.0
Ottensen,Altona,18.0,16.0,88.9,7.0
Bahrenfeld,Altona,12.0,11.0,91.7,11.0
Groß Flottbek,Altona,0.0,0.0,,0.0
Othmarschen,Altona,0.0,0.0,,2.0
Lurup,Altona,8.0,8.0,100.0,6.0
Osdorf,Altona,11.0,11.0,100.0,4.0
Nienstedten,Altona,1.0,0.0,0.0,0.0
Blankenese,Altona,1.0,0.0,0.0,0.0
Iserbrook,Altona,0.0,0.0,,0.0
Sülldorf,Altona,3.0,3.0,100.0,0.0
Rissen,Altona,2.0,2.0,100.0,1.0
Bezirk Altona,Altona,365.0,332.0,91.0,202.0
Eimsbüttel,Altona,45.0,40.0,88.9,8.0
Rotherbaum,Altona,3.0,3.0,100.0,1.0
Harvestehude,Altona,3.0,2.0,66.7,5.0
Hoheluft-West,Altona,1.0,1.0,100.0,0.0
Lokstedt,Altona,4.0,4.0,100.0,2.0
Niendorf,Altona,6.0,6.0,100.0,2.0
Schnelsen,Altona,16.0,10.0,62.5,3.0
Eidelstedt,Altona,20.0,16.0,80.0,6.0
Stellingen,Altona,6.0,4.0,66.7,5.0
Eimsbüttel,Altona,104.0,86.0,82.7,32.0
Hoheluft-Ost,Wandsbek,0.0,0.0,,0.0
Eppendorf,Wandsbek,3.0,2.0,66.7,0.0
Groß Borstel,Wandsbek,2.0,1.0,50.0,0.0
Alsterdorf,Wandsbek,2.0,2.0,100.0,1.0
Winterhude,Wandsbek,10.0,8.0,80.0,11.0
Uhlenhorst,Wandsbek,4.0,2.0,50.0,0.0
Hohenfelde,Wandsbek,5.0,5.0,100.0,5.0
Barmbek-Süd,Wandsbek,4.0,3.0,75.0,3.0
Dulsberg,Wandsbek,82.0,63.0,76.8,42.0
Barmbek-Nord,Wandsbek,17.0,12.0,70.6,9.0
Ohlsdorf,Wandsbek,3.0,3.0,100.0,4.0
Fuhlsbüttel,Wandsbek,6.0,5.0,83.3,3.0
Langenhorn,Wandsbek,31.0,27.0,87.1,7.0
Bezirk Nord,Wandsbek,169.0,133.0,78.7,85.0
Eilbek,Wandsbek,10.0,8.0,80.0,6.0
Wandsbek,Wandsbek,13.0,12.0,92.3,9.0
Marienthal,Wandsbek,2.0,2.0,100.0,8.0
Jenfeld,Wandsbek,27.0,22.0,81.5,11.0
Tonndorf,Wandsbek,7.0,7.0,100.0,9.0
Farmsen-Berne,Wandsbek,16.0,14.0,87.5,6.0
Bramfeld,Wandsbek,10.0,9.0,90.0,3.0
Steilshoop,Wandsbek,10.0,6.0,60.0,3.0
Wellingsbüttel,Wandsbek,2.0,2.0,100.0,2.0
Sasel,Wandsbek,3.0,3.0,100.0,2.0
Poppenbüttel,Wandsbek,10.0,9.0,90.0,2.0
Hummelsbüttel,Wandsbek,3.0,2.0,66.7,1.0
Lemsahl-Mellingstedt,Wandsbek,2.0,0.0,0.0,1.0
Duvenstedt,Wandsbek,2.0,2.0,100.0,0.0
Wohldorf-Ohlstedt,Wandsbek,0.0,0.0,,0.0
Bergstedt,Wandsbek,0.0,0.0,,0.0
Volksdorf,Wandsbek,0.0,0.0,,0.0
Rahlstedt,Wandsbek,23.0,23.0,100.0,15.0
Wandsbek,Wandsbek,140.0,121.0,86.4,78.0
Lohbrügge,Bergedorf,15.0,12.0,80.0,12.0
Bergedorf,Bergedorf,11.0,11.0,100.0,18.0
Curslack,Bergedorf,1.0,1.0,100.0,1.0
Altengamme,Bergedorf,0.0,0.0,,0.0
Neuengamme,Bergedorf,1.0,1.0,100.0,0.0
Kirchwerder,Bergedorf,0.0,0.0,,0.0
Ochsenwerder,Bergedorf,0.0,0.0,,0.0
Reitbrook,Bergedorf,0.0,0.0,,0.0
Allermöhe,Bergedorf,3.0,0.0,0.0,8.0
Billwerder,Bergedorf,1.0,1.0,100.0,6.0
Moorfleet,Bergedorf,0.0,0.0,,0.0
Tatenberg,Bergedorf,0.0,0.0,,1.0
Spadenland,Bergedorf,0.0,0.0,,0.0
Neuallermöhe,Bergedorf,7.0,5.0,71.4,9.0
Bergedorf,Bergedorf,39.0,31.0,79.5,55.0
Harburg,Bergedorf,47.0,41.0,87.2,43.0
Neuland,Bergedorf,0.0,0.0,,0.0
Gut Moor,Bergedorf,0.0,0.0,,0.0
Wilstorf,Bergedorf,5.0,4.0,80.0,0.0
Rönneburg,Bergedorf,1.0,0.0,0.0,0.0
Langenbek,Bergedorf,1.0,1.0,100.0,0.0
Sinstorf,Bergedorf,0.0,0.0,,0.0
Marmstorf,Bergedorf,0.0,0.0,,0.0
Eißendorf,Bergedorf,5.0,4.0,80.0,3.0
Heimfeld,Bergedorf,5.0,5.0,100.0,4.0
Moorburg,Bergedorf,0.0,0.0,,0.0
Altenwerder,Bergedorf,1.0,0.0,0.0,3.0
Hausbruch,Bergedorf,2.0,2.0,100.0,4.0
Neugraben-Fischbek,Bergedorf,7.0,5.0,71.4,2.0
Francop,Bergedorf,0.0,0.0,,0.0
Neuenfelde,Bergedorf,0.0,0.0,,2.0
Cranz,Bergedorf,0.0,0.0,,2.0
Harburg,Bergedorf,74.0,62.0,83.8,63.0
