stadtteil,population,population_under_18,pct_under_18,population_65_plus,pct_65_plus,foreigners_count,pct_foreigners,migration_background_count,pct_migration_background,under_18_migration_count,pct_under_18_migration,persons_per_household,pct_single_parents,population_density_per_km2,employment_rate_pct,unemployment_rate_pct,youth_unemployment_rate_pct,pct_sgb2_welfare,pct_children_in_welfare,income_per_taxpayer_eur,avg_apartment_size_m2,living_space_per_person_m2,pct_social_housing,pct_students_stadtteilschule,pct_students_gymnasium,pkw_per_1000_residents
Billwerder,3818,825,21.6,326,8.5,2153,56.4,2611,68.6,704,85.4,1.9,27.1,403,40.6,9.4,3.6,31.2,62.0,31848,76.0,25.3,61.1,69.2,25.7,218.0
Moorfleet,1178,183,15.5,205,17.4,188,16.0,339,28.7,82,44.6,1.9,24.0,269,58.8,3.9,,8.0,21.7,40004,101.2,39.6,0.0,,,526.0
Tatenberg,571,93,16.3,119,20.8,39,6.8,80,14.1,18,19.6,2.2,9.4,186,,,,1.4,0.0,54097,115.3,48.3,0.0,,,592.0
Spadenland,553,74,13.4,127,23.0,28,5.1,56,10.1,12,16.2,2.0,,162,,,,2.2,0.0,51871,104.3,45.8,0.0,,,600.0
Neuallermöhe,23231,5138,22.1,3081,13.3,4633,19.9,15396,66.3,4134,80.4,2.3,31.2,5526,62.0,6.4,2.2,14.7,25.0,34232,80.1,32.5,49.8,63.4,34.6,333.0
Harburg,28933,4545,15.7,2897,10.0,14023,48.5,19410,67.0,3920,86.5,1.7,29.5,7250,55.5,8.2,3.5,17.3,35.1,26488,59.3,28.2,10.0,69.0,24.4,186.0
Neuland und Gut Moor,1852,471,25.4,262,14.1,645,34.8,952,51.3,342,73.1,2.2,19.9,184,57.6,7.6,4.3,18.6,34.8,39133,102.4,33.3,0.0,66.0,27.0,401.0
Wilstorf,17783,3274,18.4,3159,17.8,5502,30.9,9481,53.2,2502,76.6,1.8,25.9,5195,62.2,7.6,4.0,13.5,26.2,30379,69.0,34.1,8.0,61.7,33.6,316.0
Rönneburg,3392,660,19.5,621,18.3,767,22.6,1464,43.2,417,63.3,2.1,18.2,1509,59.6,6.2,4.0,11.3,25.3,45948,96.5,41.3,0.4,46.6,50.4,443.0
Langenbek,4053,683,16.9,1009,24.9,609,15.0,1598,39.4,387,56.7,2.0,26.1,5107,63.4,5.1,3.1,6.8,13.0,40338,86.8,40.3,8.2,44.2,47.9,444.0
Sinstorf,4364,1059,24.3,644,14.8,1257,28.8,2223,51.0,781,73.9,2.2,19.7,1734,60.1,7.8,2.7,16.7,31.3,40816,89.7,33.9,12.1,48.2,44.2,383.0
