Schulnummer,Schulname,Bezirk,Adresse,Schueler_2024_25,Lehrer_2024_25,Schueler_2023_24,Lehrer_2023_24,Sprachen,Homepage,Nachfrage_Plaetze_2025_26,Nachfrage_Wuensche_2025_26,Nachfrage_Prozent_2025_26,Abitur_Durchschnitt_2024,Abitur_Durchschnitt_2023,Belastungsstufe,Migration_2024_25,Migration_2023_24,Ortsteil
01K02,Ernst-Schering-Schule,Mitte,"Lütticher Straße 47/48, 13353 Berlin",579,60,583,62,"Englisch, Französisch",https://ernst-schering-schule.de/,156,69,44,,,5,87.9,87.5,Wedding
10K08,Johann-Julius-Hecker-Schule,Marzahn-Hellersdorf,"Hohenwalder Straße 2, 12689 Berlin",576,41,571,39,"Englisch, Französisch, Russisch",https://www.johann-julius-hecker-schule.de/,130,81,62,,,6,28.6,25.7,Marzahn
09K05,Wilhelm-Bölsche-Schule,Treptow-Köpenick,"Aßmannstraße 11, 12587 Berlin",571,47,528,48,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://www.boelsche-berlin.de/,156,67,43,,,3,24.7,21.8,Friedrichshagen
07K04,Theodor-Haubach-Schule,Tempelhof-Schöneberg,"Grimmstraße 9-11, 12305 Berlin",571,48,522,47,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://ths-berlin.de/,130,95,73,,,4,32.9,31.8,Lichtenrade
07K07,Johanna-Eck-Schule,Tempelhof-Schöneberg,"Ringstraße 103-106, 12105 Berlin",566,74,591,72,"Englisch, Französisch, Spanisch",https://johanna-eck-schule.de/,104,150,144,,,5,78.3,80.0,Tempelhof
01K08,Schule am Schillerpark,Mitte,"Ofener Straße 6, 13349 Berlin",564,71,595,71,"Englisch, Französisch",https://www.schule-am-schillerpark.de/,156,81,52,,,5,89.4,92.8,Wedding
12K07,Jean-Krämer-Schule,Reinickendorf,"Alt-Wittenau 8-12, 13437 Berlin",551,61,524,62,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://jeankraemerschule.info,168,37,22,,,6,71.0,71.2,Wittenau
10K09,Konrad-Wachsmann-Schule,Marzahn-Hellersdorf,"Geithainer Straße 12, 12627 Berlin",549,52,527,53,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://konrad-wachsmann-schule.de/,104,78,75,,,5,39.5,37.4,Hellersdorf
02K03,Hector-Peterson-Schule,Friedrichshain-Kreuzberg,"Tempelhofer Ufer 15, 10963 Berlin",549,64,513,59,"Englisch, Französisch, Türkisch",https://hps-berlin.schule,135,33,24,,,5,86.7,79.3,Kreuzberg
01K09,Hedwig-Dohm-Schule,Mitte,"Stephanstraße 27, 10559 Berlin",541,64,498,63,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://hedwig-dohm-os.de/,100,60,60,,,6,82.3,81.3,Moabit
08K11,Alfred-Nobel-Schule,Neukölln,"Britzer Damm 164-170, 12347 Berlin",540,56,539,56,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://alfred-nobel-schule.de/,156,91,58,,,5,80.7,77.4,Britz
02K08,Refik-Veseli-Schule,Friedrichshain-Kreuzberg,"Skalitzer Straße 55, 10997 Berlin",536,78,545,82,"Englisch, Spanisch, Französisch, Türkisch",https://refik-veseli-schule.eu/,135,59,44,2.69,2.55,5,63.2,62.6,Kreuzberg
05K09,Schule am Staakener Kleeblatt,Spandau,"Brunsbütteler Damm 431-437, 13591 Berlin",526,49,411,35,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://www.schuleamstaakenerkleeblatt.de/,182,11,6,3.10,,4,83.3,77.6,Staaken
12K11,Albrecht-Haushofer-Schule,Reinickendorf,"Kurzebracker Weg 40-46, 13503 Berlin",525,52,543,51,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://www.albrecht-haushofer-schule.de/,182,12,7,,,4,57.1,46.2,Heiligensee
04A08,Sportschule im Olympiapark,Charlottenburg-Wilmersdorf,"Prinz-Friedrich-Karl-Weg 1, 14053 Berlin",524,79,533,71,"S1 Englisch/Französisch, S4 Englisch/Spanisch",https://www.sportschule-olympiapark.de/,,,,2.19,2.27,1,5.2,5.6,Westend
10K05,Jean-Piaget-Schule,Marzahn-Hellersdorf,"Mittenwalder Straße 5, 12629 Berlin",522,49,557,49,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",http://www.piaget-schule-berlin.de/,130,103,79,,,6,27.4,28.7,Hellersdorf
06K08,Max-von-Laue-Schule,Steglitz-Zehlendorf,"Dürerstraße 27, 12203 Berlin",520,58,510,58,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch, 2. Fremdsprache Spanisch, 3. Fremdsprache Spanisch",https://max-von-laue-oberschule.de/,104,187,180,,,3,33.3,31.4,Lichterfelde
07K05,Solling-Schule,Tempelhof-Schöneberg,"Alt-Marienfelde 52, 12277 Berlin",505,49,522,49,"Englisch, Französisch, Spanisch",http://solling-schule.de/,130,34,26,,,4,38.8,41.2,Marienfelde
09K03,Fritz-Kühn-Schule,Treptow-Köpenick,"Dahmestraße 45, 12526 Berlin",496,45,429,36,"Englisch, Französisch, Spanisch",https://www.fritz-kuehn-schule.de/,104,109,105,,,3,24.6,23.5,Bohnsdorf
03K05,Heinz-Brandt-Schule,Pankow,"Langhansstraße 120, 13086 Berlin",487,53,458,48,"1. Fremdsprache Englisch, 2. Fremdsprache Spanisch",https://www.heinz-brandt-schule.de,104,315,303,,,4,21.4,19.2,Weißensee
10K07,Caspar-David-Friedrich-Schule,Marzahn-Hellersdorf,"Alte Hellersdorfer Straße 7, 12629 Berlin",482,47,486,47,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://cdf-oberschule.de/,130,174,134,,,4,12.4,9.5,Hellersdorf
02K09,Albrecht-von-Graefe-Schule,Friedrichshain-Kreuzberg,"Graefestraße 85-88, 10967 Berlin",482,61,425,56,Englisch und Spanisch,https://www.albrecht-von-graefe-schule.de/,104,99,95,,,6,90.9,91.5,Kreuzberg
11K14,Elsa-Neumann-Schule,Lichtenberg,"Wartiner Straße 1-3, 13057 Berlin",482,33,328,30,"Englisch, Französisch, Latein, Russisch, Spanisch",https://elsa-neumann-schule.de,130,130,100,,,,32.8,43.3,Neu-Hohenschönhausen
04K06,Schule am Schloss,Charlottenburg-Wilmersdorf,"Schloßstraße 55A, 14059 Berlin",474,54,500,55,"1. Fremdsprache Englisch, 2. Fremdsprache Spanisch",https://www.schuleamschloss.de/,130,60,46,,,6,78.1,80.0,Charlottenburg
03K06,Reinhold-Burger-Schule,Pankow,"Neue Schönholzer Straße 32, 13187 Berlin",474,51,450,55,"1. Fremdsprache Englisch, 2. Fremdsprache Spanisch",https://www.reinhold-burger-schule.de/,104,139,134,,,4,20.3,17.8,Pankow
06K09,Gail S. Halvorsen Schule,Steglitz-Zehlendorf,"Im Gehege 6, 14195 Berlin",472,53,493,50,1. Englisch 2. Französisch oder Spanisch,https://www.halvorsen-schule.net,112,87,78,,,4,47.9,32.5,Dahlem
02K07,Georg-Weerth-Schule,Friedrichshain-Kreuzberg,"Eckertstraße 16, 10249 Berlin",468,51,463,51,"Englisch, Französisch, Spanisch",https://www.georg-weerth-schule.de/,108,54,50,,,5,31.0,32.4,Friedrichshain
01K07,Hemingway-Schule,Mitte,"Gartenstraße 10-17, 10115 Berlin",464,57,470,61,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://www.hemingway-schule.de/,104,49,47,,,6,88.1,84.7,Mitte
09K04,Isaac-Newton-Schule,Treptow-Köpenick,"Zeppelinstraße 76-80, 12459 Berlin",463,44,451,43,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://isaac-newton-schule.de/,104,83,80,,,5,28.5,26.6,Oberschöneweide
01K06,Herbert-Hoover-Schule,Mitte,"Pankstraße 18-19, 13357 Berlin",462,52,462,52,"Englisch, Französisch, Spanisch",https://www.hhs-berlin.de/,130,237,182,,,5,85.5,87.0,Gesundbrunnen
04K08,Peter-Ustinov-Schule,Charlottenburg-Wilmersdorf,"Kuno-Fischer-Straße 22-26, 14057 Berlin",461,62,470,60,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://peter-ustinov-schule.de/,130,97,75,,,3,76.6,72.6,Charlottenburg
03K08,Hagenbeck-Schule,Pankow,"Gustav-Adolf-Straße 60, 13086 Berlin",459,48,479,46,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://hagenbeck-schule.de/,104,148,142,,,4,15.3,14.4,Weißensee
12K05,Gustav-Freytag-Schule,Reinickendorf,"Breitkopfstraße 66-80, 13409 Berlin",458,49,450,47,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://www.gustav-freytag-schule.berlin/,126,121,96,,,5,72.7,72.7,Reinickendorf
12K06,Benjamin-Franklin-Schule,Reinickendorf,"Sommerfelder Straße 5-7, 13509 Berlin",455,50,440,51,"Englisch, Französisch",https://benjamin-franklin-schule.de/,101,103,102,,,4,48.6,41.8,Wittenau
08K04,Heinrich-Mann-Schule,Neukölln,"Gerlinger Straße 22, 12353 Berlin",452,45,462,46,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://heinrichmannschule.de/,189,39,21,,,6,74.8,72.7,Buckow
05K07,Schule an der Jungfernheide,Spandau,"Lenther Steig 1-3, 13629 Berlin",450,55,460,55,"Englisch, Französisch, Spanisch",https://www.schule-an-der-jungfernheide.de/,122,133,109,2.93,2.50,4,35.1,36.1,Siemensstadt
07K06,Georg-von-Giesche-Schule,Tempelhof-Schöneberg,"Hohenstaufenstraße 47-48, 10779 Berlin",449,63,458,61,"Englisch, Französisch, Spanisch",https://www.georg-von-giesche-schule.de/,130,88,68,,,4,79.5,77.5,Schöneberg
