Schulnummer,Schulname,Bezirk,Adresse,Schueler_2024_25,Lehrer_2024_25,Schueler_2023_24,Lehrer_2023_24,Sprachen,Homepage,Nachfrage_Plaetze_2025_26,Nachfrage_Wuensche_2025_26,Nachfrage_Prozent_2025_26,Abitur_Durchschnitt_2024,Abitur_Durchschnitt_2023,Belastungsstufe,Migration_2024_25,Migration_2023_24,Ortsteil
09K07,Sophie-Brahe-Gemeinschaftsschule,Treptow-Köpenick,"Am Plänterwald 17-23, 12435 Berlin",1163,102,1132,97,"Englisch, Französisch, Spanisch",https://sophie-brahe-schule.de/,182,126,69,2.68,2.73,4,46.9,26.1,Plänterwald
04K05,Paula-Fürst-Schule,Charlottenburg-Wilmersdorf,"Sybelstraße 20-21, 10629 Berlin",1139,107,1131,111,"Englisch, Französisch, Spanisch",https://paula-fuerst-gemeinschaftsschule.de/,54,133,246,2.36,2.27,4,46.3,47.2,Charlottenburg
07K01,Sophie-Scholl-Schule,Tempelhof-Schöneberg,"Elßholzstraße 34-37, 10781 Berlin",1085,124,1059,125,"Englisch, Französisch, Spanisch, Latein",https://sophie-scholl-schule.eu/,156,292,187,2.17,2.25,3,17.3,20.0,Schöneberg
08K05,Clay-Schule,Neukölln,"Neudecker Weg 22, 12355 Berlin",1063,108,1120,111,"Englisch, Französisch",https://clay-schule.de/,208,441,212,2.67,2.72,3,35.1,40.3,Rudow
08K01,Walter-Gropius-Schule,Neukölln,"Fritz-Erler-Allee 86, 12351 Berlin",1050,118,1085,108,"Englisch, Französisch, Latein",https://walter-gropius-schule-berlin.de/,40,63,158,2.86,3.01,6,94.7,88.0,Gropiusstadt
05K02,Carlo-Schmid-Oberschule,Spandau,"Lutoner Straße 15-19, 13581 Berlin",1045,111,1032,117,"Englisch, Französisch, Spanisch",https://www.carlo-schmid-oberschule.de/,156,294,188,2.60,2.69,5,58.1,56.2,Wilhelmstadt
04K04,Nelson-Mandela-Schule,Charlottenburg-Wilmersdorf,"Pfalzburger Straße 30, 10719 Berlin",1044,127,1108,130,"Englisch, Französisch",https://www.nelson-mandela-schule.net/,,,,1.93,1.81,2,69.4,69.9,Wilmersdorf
05K01,Martin-Buber-Oberschule,Spandau,"Im Spektefeld 33, 13589 Berlin",1043,105,1063,107,"Englisch, Französisch, Latein, Spanisch",https://martin-buber-oberschule.de/,156,362,232,2.34,2.20,3,22.4,15.2,Falkenhagener Feld
12K03,Max-Beckmann-Schule,Reinickendorf,"Auguste-Viktoria-Allee 37, 13403 Berlin",1029,112,982,108,"Englisch, Französisch, Latein, Spanisch",https://mbo-berlin.de/,182,437,240,2.70,2.66,4,46.4,44.1,Reinickendorf
09K01,Merian-Schule,Treptow-Köpenick,"Hoernlestraße 80, 12555 Berlin",1027,96,1040,101,"Englisch, Französisch, Russisch",http://merian.schule/,156,247,158,2.43,2.38,3,7.7,3.6,Köpenick
06K02,Wilma-Rudolph-Schule,Steglitz-Zehlendorf,"Am Hegewinkel 2A, 14169 Berlin",1012,107,1004,103,"Englisch, Französisch, Spanisch",https://www.wilma-rudolph.de/,182,244,134,2.52,2.51,2,8.5,6.3,Dahlem
05K04,Heinrich-Böll-Oberschule,Spandau,"Am Forstacker 9-11, 13587 Berlin",1009,102,1024,95,"Englisch, Französisch, Latein",https://boell-schule.de/,182,226,124,2.61,2.75,4,58.1,56.9,Hakenfelde
03K11,Wilhelm-von-Humboldt-Schule,Pankow,"Erich-Weinert-Straße 70, 10439 Berlin",1007,97,994,95,"Englisch, Französisch, Spanisch",https://wvh-gemeinschaftsschule.de/,54,109,202,1.98,2.07,2,14.2,13.3,Prenzlauer Berg
07K02,Carl-Zeiss-Schule,Tempelhof-Schöneberg,"Barnetstraße 12-14, 12305 Berlin",1005,104,1003,106,"Englisch, Französisch, Latein, Spanisch",https://www.carl-zeiss-oberschule.de,156,345,221,2.63,2.65,3,29.7,32.7,Lichtenrade
11K04,Gutenberg-Schule,Lichtenberg,"Sandinostraße 10, 13055 Berlin",1003,87,1003,94,"Englisch, Französisch, Latein, Russisch, Spanisch",https://www.gutenberg-oberschule-berlin.de/,130,262,202,2.58,2.52,3,10.5,12.5,Alt-Hohenschönhausen
06K04,Bröndby-Schule,Steglitz-Zehlendorf,"Dessauerstraße 63, 12249 Berlin",998,92,989,92,"Englisch, Französisch, Spanisch, Latein",https://www.broendby.de/,196,118,60,2.87,2.86,3,52.1,51.2,Lankwitz
02K06,Emanuel-Lasker-Schule,Friedrichshain-Kreuzberg,"Modersohnstraße 53, 10245 Berlin",996,90,976,89,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://els-schule.de/,39,69,177,2.58,2.58,3,33.2,25.2,Friedrichshain
03K02,Kurt-Tucholsky-Schule,Pankow,"Neumannstraße 9-11, 13189 Berlin",991,87,960,83,"Englisch, Französisch, Latein, Russisch",https://www.kto-berlin.de/,156,226,145,2.30,2.39,3,10.3,8.0,Pankow
01K10,Theodor-Heuss-Gemeinschaftsschule,Mitte,"Quitzowstraße 141, 10559 Berlin",990,112,993,109,"Englisch, Französisch, Latein, Türkisch",https://thgberlin.de/,83,91,110,2.77,2.87,6,87.1,84.1,Moabit
03K01,Kurt-Schwitters-Schule,Pankow,"Greifswalder Straße 25, 10405 Berlin",987,103,982,101,"Englisch, Französisch, Spanisch, Portugiesisch",https://www.kurt-schwitters.schule/,156,213,137,2.27,2.03,3,30.8,30.3,Prenzlauer Berg
11K12,Paul-und-Charlotte-Kniese-Schule,Lichtenberg,"Erich-Kurz-Straße 6-10, 10319 Berlin",986,95,957,89,"Englisch, Französisch",https://www.kniese-schule-berlin.de/,104,100,96,2.89,2.68,4,40.8,37.6,Friedrichsfelde
08K08,Gemeinschaftsschule auf dem Campus Rütli,Neukölln,"Rütlistraße 41, 12045 Berlin",966,123,973,120,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://campusruetli.de/gemeinschaftsschule,71,106,149,2.87,2.68,5,62.9,65.3,Neukölln
11A07,Schul- und Leistungssportzentrum (SLZB),Lichtenberg,"Fritz-Lesch-Straße 35, 13053 Berlin",962,134,967,139,"Englisch, Französisch, Latein, Russisch",https://www.slzb.de/,,,,2.34,2.09,1,8.3,5.0,Alt-Hohenschönhausen
06K03,Kopernikus-Schule,Steglitz-Zehlendorf,"Lepsiusstraße 24-28, 12163 Berlin",954,98,1011,101,"Englisch, Französisch, Latein, Spanisch",https://www.kopernikus-oberschule.de/,224,159,71,2.83,2.70,3,30.4,30.9,Steglitz
06K11,Anna-Essinger-Gemeinschaftsschule,Steglitz-Zehlendorf,"Tietzenweg 101, 12203 Berlin",933,105,939,99,"Englisch, Französisch, Spanisch",https://aegs.de/,34,127,374,2.20,2.20,3,13.0,13.2,Lichterfelde
01K03,Ernst-Reuter-Schule,Mitte,"Stralsunder Straße 57, 13355 Berlin",926,113,971,125,"Englisch, Französisch, Türkisch, Spanisch",https://ernst-reuter-schule.berlin/,156,121,78,2.89,2.86,5,80.5,79.8,Gesundbrunnen
10K02,Ernst-Haeckel-Schule,Marzahn-Hellersdorf,"Luckenwalder Straße 53, 12629 Berlin",922,77,886,77,"Englisch, Französisch, Spanisch",https://haeckel-os.de/,196,330,168,2.62,2.60,4,17.2,15.7,Hellersdorf
02K04,Bergmannkiez-Gemeinschaftsschule,Friedrichshain-Kreuzberg,"Gneisenaustraße 7, 10961 Berlin",894,92,882,94,"Englisch, Französisch, Spanisch",https://bergmannkiez-gemeinschaftsschule.de/,101,109,108,2.75,2.99,5,47.2,51.0,Kreuzberg
04K03,Robert-Jungk-Schule,Charlottenburg-Wilmersdorf,"Sächsische Straße 58, 10707 Berlin",888,110,940,108,"Englisch, Französisch, Spanisch, Polnisch",https://www.robert-jungk-oberschule.de/,130,226,174,2.48,2.33,4,54.4,61.5,Wilmersdorf
11K02,Mildred-Harnack-Schule,Lichtenberg,"Schulze-Boysen-Straße 12, 10365 Berlin",884,79,913,80,"Englisch, Französisch, Latein, Spanisch, Russisch",https://mildred-harnack-schule.de/,130,140,108,2.35,2.32,3,48.6,43.0,Lichtenberg
11K05,Fritz-Reuter-Schule,Lichtenberg,"Prendener Straße 29, 13059 Berlin",866,80,839,78,"Englisch, Französisch, Latein, Russisch",https://www.fritz-reuter-oberschule.de/,130,266,205,2.66,2.52,4,31.1,26.2,Neu-Hohenschönhausen
05K06,Wolfgang-Borchert-Schule,Spandau,"Blumenstraße 13, 13585 Berlin",861,91,906,97,"Englisch, Französisch, Spanisch",https://borchertschule-spandau.de/,182,179,98,3.12,,5,66.2,65.9,Spandau
