Schulnummer,Schulname,Bezirk,Adresse,Schueler_2024_25,Lehrer_2024_25,Schueler_2023_24,Lehrer_2023_24,Sprachen,Homepage,Nachfrage_Plaetze_2025_26,Nachfrage_Wuensche_2025_26,Nachfrage_Prozent_2025_26,Abitur_Durchschnitt_2024,Abitur_Durchschnitt_2023,MSA_Notendurchschnitt_Bezirk_2024,MSA_Bestehensquote_Bezirk_2024,MSA_Plus_Quote_Bezirk_2024,MSA_Teilnehmer_Bezirk_2024,MSA_Notendurchschnitt_Bezirk_2023,MSA_Bestehensquote_Bezirk_2023,MSA_Plus_Quote_Bezirk_2023,MSA_Teilnehmer_Bezirk_2023,Hat_Abitur,Leistungsdaten_Quelle,Notendurchschnitt_2024,Notendurchschnitt_2023,Belastungsstufe,Migration_2024_25,Migration_2023_24,Ortsteil
09K08,Schule an der Dahme,Treptow-Köpenick,"Glienicker Straße 24-30, 12557 Berlin",635,55,615.0,57.0,"Englisch, Französisch, Spanisch",https://www.dahmeschule.de/,130.0,301.0,232.0,2.33,2.71,2.4,72.0,49.0,980,2.4,71.0,48.0,970,True,Schule_Abitur,2.33,2.71,3.0,10.2,8.6,Köpenick
03K04,Gustave-Eiffel-Schule,Pankow,"Hanns-Eisler-Straße 78-80, 10409 Berlin",627,68,640.0,67.0,"Englisch, Französisch, Spanisch",https://www.gustave-eiffel-schule.de,130.0,38.0,29.0,,,2.3,75.0,52.0,1100,2.3,74.0,51.0,1080,False,Bezirk_MSA,2.3,2.3,4.0,42.6,35.8,Prenzlauer Berg
10K13,Integrierte Sekundarschule Mahlsdorf,Marzahn-Hellersdorf,"An der Schule 41-59, 12623 Berlin",620,64,589.0,59.0,"Englisch, Spanisch",https://www.iss-mahlsdorf.de/,130.0,261.0,201.0,,,2.5,65.0,41.0,1400,2.5,64.0,40.0,1380,False,Bezirk_MSA,2.5,2.5,4.0,9.5,8.3,Mahlsdorf
12K04,Paul-Löbe-Schule,Reinickendorf,"Lindauer Allee 23-25, 13407 Berlin",609,77,589.0,77.0,"1. Fremdsprache Englisch, 2. Fremdsprache Spanisch",https://www.paul-loebe-schule.de/,156.0,96.0,62.0,,,2.4,68.0,44.0,1100,2.4,67.0,43.0,1090,False,Bezirk_MSA,2.4,2.4,5.0,67.7,66.9,Reinickendorf
11K11,Paul-Schmidt-Schule,Lichtenberg,"Malchower Weg 54, 13053 Berlin",600,61,647.0,68.0,"Englisch, Französisch, Spanisch",https://www.paul-schmidt-schule.de/,130.0,53.0,41.0,,,2.4,69.0,45.0,1200,2.4,68.0,44.0,1180,False,Bezirk_MSA,2.4,2.4,4.0,55.3,48.5,Alt-Hohenschönhausen
10K06,Georg-Klingenberg-Schule,Marzahn-Hellersdorf,"Alberichstraße 24, 12683 Berlin",600,59,612.0,56.0,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://georg-klingenberg.schule/,130.0,50.0,38.0,,,2.5,65.0,41.0,1400,2.5,64.0,40.0,1380,False,Bezirk_MSA,2.5,2.5,3.0,29.3,25.3,Biesdorf
01K02,Ernst-Schering-Schule,Mitte,"Lütticher Straße 47/48, 13353 Berlin",579,60,583.0,62.0,"Englisch, Französisch",https://ernst-schering-schule.de/,156.0,69.0,44.0,,,2.6,63.0,38.0,1150,2.6,62.0,37.0,1120,False,Bezirk_MSA,2.6,2.6,5.0,87.9,87.5,Wedding
10K08,Johann-Julius-Hecker-Schule,Marzahn-Hellersdorf,"Hohenwalder Straße 2, 12689 Berlin",576,41,571.0,39.0,"Englisch, Französisch, Russisch",https://www.johann-julius-hecker-schule.de/,130.0,81.0,62.0,,,2.5,65.0,41.0,1400,2.5,64.0,40.0,1380,False,Bezirk_MSA,2.5,2.5,6.0,28.6,25.7,Marzahn
09K05,Wilhelm-Bölsche-Schule,Treptow-Köpenick,"Aßmannstraße 11, 12587 Berlin",571,47,528.0,48.0,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://www.boelsche-berlin.de/,156.0,67.0,43.0,,,2.4,72.0,49.0,980,2.4,71.0,48.0,970,False,Bezirk_MSA,2.4,2.4,3.0,24.7,21.8,Friedrichshagen
07K04,Theodor-Haubach-Schule,Tempelhof-Schöneberg,"Grimmstraße 9-11, 12305 Berlin",571,48,522.0,47.0,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://ths-berlin.de/,130.0,95.0,73.0,,,2.4,70.0,47.0,1020,2.4,72.0,49.0,1000,False,Bezirk_MSA,2.4,2.4,4.0,32.9,31.8,Lichtenrade
