Schulnummer,Schulname,Bezirk,Adresse,Schueler_2024_25,Lehrer_2024_25,Schueler_2023_24,Lehrer_2023_24,Sprachen,Homepage,Nachfrage_Plaetze_2025_26,Nachfrage_Wuensche_2025_26,Nachfrage_Prozent_2025_26,Abitur_Durchschnitt_2024,Abitur_Durchschnitt_2023,MSA_Notendurchschnitt_Bezirk_2024,MSA_Bestehensquote_Bezirk_2024,MSA_Plus_Quote_Bezirk_2024,MSA_Teilnehmer_Bezirk_2024,MSA_Notendurchschnitt_Bezirk_2023,MSA_Bestehensquote_Bezirk_2023,MSA_Plus_Quote_Bezirk_2023,MSA_Teilnehmer_Bezirk_2023,Hat_Abitur,Leistungsdaten_Quelle,Notendurchschnitt_2024,Notendurchschnitt_2023,Belastungsstufe,Migration_2024_25,Migration_2023_24,Ortsteil
07K11,Hugo-Gaudig-Schule,Tempelhof-Schöneberg,"Boelckestraße 58-60, 12101 Berlin",417,46,428.0,46.0,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://www.hugo-gaudig-schule.de/,104.0,93.0,89.0,,,2.4,70.0,47.0,1020,2.4,72.0,49.0,1000,False,Bezirk_MSA,2.4,2.4,5.0,88.0,84.1,Tempelhof
02K10,Ferdinand-Freiligrath-Schule,Friedrichshain-Kreuzberg,"Bergmannstraße 64, 10961 Berlin",417,43,333.0,41.0,"Englisch, Französisch, Spanisch",https://www.ferdinand-freiligrath-schule.de/,130.0,151.0,116.0,2.76,2.84,2.5,67.0,43.0,980,2.5,66.0,42.0,960,True,Schule_Abitur,2.76,2.84,4.0,64.0,68.5,Kreuzberg
12K01,Julius-Leber-Schule,Reinickendorf,"Treskowstraße 26-31, 13507 Berlin",409,42,416.0,42.0,"1. Fremdsprache Englisch, 2. Fremdsprache Spanisch",https://www.jls-berlin.de/,100.0,138.0,138.0,,,2.4,68.0,44.0,1100,2.4,67.0,43.0,1090,False,Bezirk_MSA,2.4,2.4,5.0,60.6,57.5,Tegel
08K10,Zuckmayer-Schule,Neukölln,"Kopfstraße 55, 12053 Berlin",409,45,402.0,41.0,"Englisch, Französisch, Türkisch",https://zuckmayer-schule.de/,108.0,46.0,43.0,,,2.7,56.0,32.0,1300,2.7,55.0,31.0,1280,False,Bezirk_MSA,2.7,2.7,6.0,90.5,91.0,Neukölln
12K10,Carl-Bosch-Schule,Reinickendorf,"Frohnauer Straße 74-80, 13467 Berlin",407,40,406.0,41.0,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://www.carlbosch.de/,100.0,35.0,35.0,,,2.4,68.0,44.0,1100,2.4,67.0,43.0,1090,False,Bezirk_MSA,2.4,2.4,3.0,51.4,45.8,Hermsdorf
08K09,Röntgen-Schule,Treptow-Köpenick,"Wildenbruchstraße 53, 12435 Berlin",404,45,409.0,45.0,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://www.roentgen-sekundarschule.de/,100.0,74.0,74.0,2.05,,2.4,72.0,49.0,980,2.4,71.0,48.0,970,True,Schule_Abitur,2.05,2.4,6.0,91.6,91.7,Alt-Treptow
07K10,Friedrich-Bergius-Schule,Tempelhof-Schöneberg,"Perelsplatz 6-9, 12159 Berlin",401,48,402.0,50.0,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://friedrich-bergius-schule.de,108.0,33.0,31.0,,,2.4,70.0,47.0,1020,2.4,72.0,49.0,1000,False,Bezirk_MSA,2.4,2.4,5.0,83.8,83.3,Friedenau
07K13,Schule am Berlinickeplatz,Tempelhof-Schöneberg,"Alt-Tempelhof 53-57, 12103 Berlin",397,43,372.0,46.0,"Englisch, Französisch, Spanisch",https://schule-am-berlinickeplatz.de/,104.0,39.0,38.0,,,2.4,70.0,47.0,1020,2.4,72.0,49.0,1000,False,Bezirk_MSA,2.4,2.4,5.0,80.6,79.0,Tempelhof
11K06,Schule am Rathaus,Lichtenberg,"Rathausstraße 8, 10367 Berlin",396,44,396.0,37.0,"Englisch, Französisch, Spanisch",https://schuleamrathaus.de/,96.0,79.0,82.0,,,2.4,69.0,45.0,1200,2.4,68.0,44.0,1180,False,Bezirk_MSA,2.4,2.4,4.0,39.4,33.6,Lichtenberg
03K09,Janusz-Korczak-Schule,Pankow,"Dolomitenstraße 94, 13187 Berlin",389,39,375.0,39.0,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://jks-pankow.de/,104.0,111.0,107.0,,,2.3,75.0,52.0,1100,2.3,74.0,51.0,1080,False,Bezirk_MSA,2.3,2.3,4.0,26.2,17.9,Pankow
08K12,Kepler-Schule,Neukölln,"Zwillingestraße 21, 12057 Berlin",374,48,374.0,45.0,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://kepler-schule.de/,100.0,32.0,32.0,,,2.7,56.0,32.0,1300,2.7,55.0,31.0,1280,False,Bezirk_MSA,2.7,2.7,5.0,88.2,87.7,Neukölln
11K13,May-Ayim-Schule,Lichtenberg,"Storkower Straße 209b, 10369 Berlin",369,37,257.0,22.0,"Englisch, Französisch, Spanisch",https://may-ayim-schule.de/,104.0,102.0,98.0,,,2.4,69.0,45.0,1200,2.4,68.0,44.0,1180,False,Bezirk_MSA,2.4,2.4,,26.6,25.3,Fennpfuhl
04K07,Sekundarschule Wilmersdorf,Charlottenburg-Wilmersdorf,"Kranzer Straße 3, 14199 Berlin",344,35,350.0,35.0,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://www.sekundarschule-wilmersdorf.de/,78.0,33.0,42.0,,,2.4,71.0,48.0,850,2.4,72.0,49.0,840,False,Bezirk_MSA,2.4,2.4,4.0,36.9,36.6,Schmargendorf
10K03,Kerschensteiner-Schule,Marzahn-Hellersdorf,"Golliner Straße 2, 12689 Berlin",322,27,318.0,26.0,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://www.k-iss.de/,130.0,58.0,45.0,,,2.5,65.0,41.0,1400,2.5,64.0,40.0,1380,False,Bezirk_MSA,2.5,2.5,4.0,35.7,37.4,Marzahn
02K05,Schule am Königstor,Friedrichshain-Kreuzberg,"Weinstraße 3, 10249 Berlin",320,58,319.0,51.0,"1. Fremdsprache Englisch, 2. Fremdsprache Spanisch",https://schuleamkoenigstor.weebly.com/,88.0,73.0,83.0,,,2.5,67.0,43.0,980,2.5,66.0,42.0,960,False,Bezirk_MSA,2.5,2.5,5.0,57.8,63.9,Friedrichshain
04K10,Wangari-Maathai-Internationale-Schule,Charlottenburg-Wilmersdorf,"Babelsberger Straße 24, 10715 Berlin",304,35,265.0,29.0,"Englisch, Spanisch, Französisch",https://wangari-maathai-schule.de/,,,,,,2.4,71.0,48.0,850,2.4,72.0,49.0,840,False,Bezirk_MSA,2.4,2.4,2.0,67.1,66.4,Wilmersdorf
09A07,Flatow-Oberschule,Treptow-Köpenick,"Birkenstraße 11, 12559 Berlin",276,43,264.0,39.0,"Englisch, Französisch",https://flatow-os.de/,,,,2.18,2.08,2.4,72.0,49.0,980,2.4,71.0,48.0,970,True,Schule_Abitur,2.18,2.08,1.0,8.7,14.8,Köpenick
11K15,Kosmos-Schule,Lichtenberg,"Allee der Kosmonauten 20-22, 10315 Berlin",227,22,,,"Englisch, Französisch, Spanisch",https://iss.adkosmos.eu/,156.0,274.0,176.0,,,2.4,69.0,45.0,1200,2.4,68.0,44.0,1180,False,Bezirk_MSA,2.4,2.4,,44.5,,Lichtenberg
11K16,Sekundarschule Falkenberger Chaussee,Lichtenberg,"Falkenberger Chaussee 74, 13053 Berlin",115,5,,,"Englisch, Spanisch",,156.0,35.0,22.0,,,2.4,69.0,45.0,1200,2.4,68.0,44.0,1180,False,Bezirk_MSA,2.4,2.4,,47.0,,Neu-Hohenschönhausen
10K14,Gemeinschaftsschule Mahlsdorf,Marzahn-Hellersdorf,"Landsberger Straße 178, 12623 Berlin",92,8,,,"Englisch, Französisch, Spanisch",,104.0,53.0,51.0,,,2.5,65.0,41.0,1400,2.5,64.0,40.0,1380,False,Bezirk_MSA,2.5,2.5,,0.0,,Mahlsdorf
