stop_name,stop_type,transit_type,lines,latitude,longitude
Saseler Straße,,Metrobus,M24,53.62330619157005,10.165432598611613
Werner-Otto-Straße (Mitte),,Metrobus,M8,53.59997714488194,10.07075670170816
Berner Chaussee,,Metrobus,"M8,M17,M18",53.61975164482953,10.08202603086713
Gladowstraße,,Metrobus,M8,53.57945994538057,10.072129913003101
Siemersplatz,,Metrobus,"M5,M22",53.600094911387,9.962244968039467
Lufthansa-Basis,,Metrobus,"M23,M28",53.62108238265035,9.998005180238815
U Wandsbek-Gartenstadt,,Metrobus,M8,53.59198985438404,10.07546175337379
Walddörferstraße,,Metrobus,M8,53.579911486123,10.082324657715748
Ebeersreye,,Metrobus,M16,53.59501730157844,10.113888113090589
Friedrich-Ebert-Damm (West),,Metrobus,"M8,M16",53.584357996450926,10.077770299207423
Sperlingsweg,,Metrobus,M24,53.64538197491158,9.974514175920715
Tilsiter Straße,,Metrobus,M8,53.58865959332899,10.07783957214101
Haldesdorfer Straße,,Metrobus,M8,53.59770936101685,10.072037681559731
Hellmesbergerweg,,Metrobus,M24,53.63132929355438,10.179522409788733
Werner-Otto-Straße,,Metrobus,"M18,M8",53.60069095572216,10.068397301079646
Rahnstraße,,Metrobus,"M8,M18",53.60518797407552,10.07113626250583
Steilshooper Allee,,Metrobus,"M17,M8,M18,M26",53.6089868797108,10.074320512376755
Bramfelder Dorfplatz,,Metrobus,"M17,M8,M18",53.61423577122151,10.077059478661496
Heukoppel,,Metrobus,"M18,M8",53.61124711126065,10.079594071958779
Warnckesweg,,Metrobus,M23,53.610073549419205,9.975187930064482
Ellernreihe (Mitte),,Metrobus,"M26,M8,M18",53.608341879923024,10.07923486971307
Niendorfer Straße,,Metrobus,"M23,M5",53.60994899479225,9.957725460893037
Spreenende,,Metrobus,M23,53.61248409125079,9.973617762819147
Am Licentiatenberg,,Metrobus,M23,53.61446330773828,9.983817953364186
Eulenkamp,,Metrobus,M16,53.58333316075731,10.07152672142607
Stavenhagenstraße,,Metrobus,M23,53.61026708042803,9.968776137951924
Stephanstraße,,Metrobus,M16,53.585620250094856,10.085434101085479
Helbingtwiete,,Metrobus,M16,53.586881650599665,10.092014024962214
Sylter Weg,,Metrobus,M16,53.59013900646658,10.105527672129583
Rentenversicherung Nord,,Metrobus,M16,53.59263632407624,10.108840562737242
Nedderfeld,,Metrobus,M5,53.60209661455275,9.961749566894413
Pulverhofsweg,,Metrobus,M16,53.59949260843257,10.124485253795173
Eckerkoppel,,Metrobus,M16,53.60048120732515,10.118112707268008
Offakamp,,Metrobus,M22,53.59846715830459,9.970463023854704
Berufsförderungswerk Hamburg,,Metrobus,M27,53.61062552856322,10.11543290406897
Rahlstedter Weg (Mitte),,Metrobus,"M26,M27",53.603517816399695,10.127575072529165
Pflegezentrum Farmsen,,Metrobus,M27,53.61211540745716,10.114641559598587
Behrmannplatz,,Metrobus,M22,53.59941784284703,9.958567976915951
Neusurenland,,Metrobus,M27,53.61616094672687,10.11451575353852
U Farmsen,,Metrobus,"M26,M27",53.60706595953263,10.11718342676901
Stuhtsweg,,Metrobus,M27,53.620581546887664,10.113160686550428
Vogt-Cordes-Damm,,Metrobus,"M23,M5",53.61520636796679,9.951309517479736
Bindfeldweg,,Metrobus,M5,53.62263706851199,9.942899777297555
U Niendorf Markt,,Metrobus,"M5,M23,M24",53.61950962457786,9.951387736377391
Alter Zollweg,,Metrobus,M16,53.60825947744074,10.136768442290848
Timmendorfer Straße,,Metrobus,M16,53.603689860458424,10.130253050794257
Goldbekplatz,,Metrobus,"M17,M25,M6",53.583730336007775,10.010443013645725
Scharbeutzer Straße,,Metrobus,M26,53.601248159161024,10.132602429545768
