schulnummer,schulname,strasse,plz,ort,website,email,school_type,traegerschaft,traeger,fax,phone,director,latitude,longitude,adresse,data_source,data_retrieved,bundesland,stadt,traffic_accidents_total,traffic_accidents_fatal,traffic_accidents_serious_injury,traffic_accidents_minor_injury,traffic_accidents_bicycle,traffic_accidents_pedestrian,traffic_safety_score,transit_rail_01_name,transit_rail_01_distance_m,transit_rail_01_latitude,transit_rail_01_longitude,transit_rail_01_lines,transit_rail_02_name,transit_rail_02_distance_m,transit_rail_02_latitude,transit_rail_02_longitude,transit_rail_02_lines,transit_rail_03_name,transit_rail_03_distance_m,transit_rail_03_latitude,transit_rail_03_longitude,transit_rail_03_lines,transit_tram_01_name,transit_tram_01_distance_m,transit_tram_01_latitude,transit_tram_01_longitude,transit_tram_01_lines,transit_tram_02_name,transit_tram_02_distance_m,transit_tram_02_latitude,transit_tram_02_longitude,transit_tram_02_lines,transit_tram_03_name,transit_tram_03_distance_m,transit_tram_03_latitude,transit_tram_03_longitude,transit_tram_03_lines,transit_bus_01_name,transit_bus_01_distance_m,transit_bus_01_latitude,transit_bus_01_longitude,transit_bus_01_lines,transit_bus_02_name,transit_bus_02_distance_m,transit_bus_02_latitude,transit_bus_02_longitude,transit_bus_02_lines,transit_bus_03_name,transit_bus_03_distance_m,transit_bus_03_latitude,transit_bus_03_longitude,transit_bus_03_lines,transit_stop_count_1000m,transit_all_lines_1000m,transit_accessibility_score
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_2ad984f8-ff5b-410c-87d4-5c7b3c43e9b7,"Grundschule München, Strehleranger 4",Staudingerstraße 36,81735,München,,,Grundschulen,,,,,,48.109878,11.632169,"Staudingerstraße 36, 81735 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,14,0,0,14,3,2,72,Unknown,911.0,48.118033,11.633313,E,Michaelibad,942.0,48.118349,11.631823,,Unknown,949.0,48.118378,11.633309,D,,,,,,,,,,,,,,,,Ostpark Eislaufzentrum,102.0,48.110794,11.632249,,Ostpark Eislaufzentrum,170.0,48.111398,11.631907,,Hofangerstraße,356.0,48.110339,11.627429,,35,D; E,100
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_e3d7e056-8a9c-4007-8cba-3b2b9264624a,"Grundschule München, Stuntzstraße 55",Stuntzstr. 55,81677,München,,,Grundschulen,,,,,,48.141619,11.622683,"Stuntzstr. 55, 81677 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,32,0,1,31,11,3,36,Unknown,555.0,48.143811,11.61597,A,Unknown,564.0,48.144,11.615964,,Böhmerwaldplatz,566.0,48.143505,11.6156,,Vogelweideplatz,524.0,48.137232,11.620091,,Vogelweideplatz,526.0,48.137132,11.620421,,Riedenburger Straße,640.0,48.135913,11.623795,,Moselstraße,337.0,48.14179,11.627212,,Vogelweideplatz,514.0,48.137386,11.619905,,Schwarzwaldstraße,515.0,48.13908,11.628484,,50,A,100
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_3ce463de-39a7-4ad2-b329-eb3739dc50a1,"Grundschule München, Südliche Auffahrtsallee 82",Südliche Auffahrtsallee 82,80639,München,,,Grundschulen,,,,,,48.157946,11.509789,"Südliche Auffahrtsallee 82, 80639 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,64,1,7,56,34,7,0,,,,,,,,,,,,,,,,Schloss Nymphenburg,141.0,48.158532,11.511472,,Romanplatz,304.0,48.155696,11.512107,,Romanplatz,324.0,48.155261,11.511485,,Schloss Nymphenburg,126.0,48.157799,11.511472,,Schloss Nymphenburg,189.0,48.159154,11.511573,,Romanplatz,246.0,48.155978,11.51131,,31,,100
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_c2fb0b84-3c7c-423e-86cf-edb65a7a1d3a,"Grundschule München, Toni-Pfülf-Straße 30",Toni-Pfülf-Str. 30,80995,München,,,Grundschulen,,,,,,48.201038,11.532896,"Toni-Pfülf-Str. 30, 80995 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,21,2,2,17,12,7,58,Fasanerie,635.0,48.197775,11.525866,,,,,,,,,,,,,,,,,,,,,,,,,,,Max-Wönner-Straße,271.0,48.199482,11.535703,,Max-Wönner-Straße,287.0,48.199272,11.535723,,Lerchenauer See,380.0,48.198139,11.535609,,19,,100
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_6da1afb4-5fa8-4aac-ba0f-a88274866e53,"Grundschule München, Torquato-Tasso-Straße 38",Torquato-Tasso-Str. 38,80807,München,,,Grundschulen,,,,,,48.180034,11.581221,"Torquato-Tasso-Str. 38, 80807 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,82,0,4,78,35,5,0,Unknown,576.0,48.179837,11.573462,,Unknown,579.0,48.179929,11.573414,,Milbertshofen,606.0,48.180904,11.573153,,Anni-Albers-Straße,593.0,48.17977,11.589212,,Am Münchner Tor,681.0,48.17613,11.588298,,Domagkstraße,790.0,48.183797,11.590265,,Griegstraße,311.0,48.181438,11.584849,,Freiligrathstraße,351.0,48.178263,11.58514,,Griegstraße,359.0,48.182107,11.584937,,54,,100
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_111f0bfb-f7dc-4591-b45b-b2deb8ee4ae1,"Grundschule München, Türkenstraße 68",Türkenstr. 68,80799,München,,,Grundschulen,,,,,,48.150608,11.57648,"Türkenstr. 68, 80799 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,181,0,8,173,117,29,0,Unknown,331.0,48.149393,11.580557,Nr. 2,Unknown,334.0,48.149198,11.58046,D,Universität,347.0,48.150354,11.581144,,Schellingstraße,242.0,48.151038,11.573288,,Pinakotheken,383.0,48.148962,11.571941,,Nordendstraße,475.0,48.154821,11.575418,,Türkenstraße,50.0,48.150233,11.576114,,Türkenstraße,60.0,48.150326,11.57579,,Schellingstraße,228.0,48.15098,11.573452,,94,D; Nr. 2,100
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_6f306c76-f360-4498-bbe5-d001ea525765,"Grundschule München, Tumblingerstraße 6",Tumblingerstr. 6,80337,München,,,Grundschulen,,,,,,48.127808,11.560611,"Tumblingerstr. 6, 80337 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,174,0,13,161,91,24,0,Unknown,220.0,48.129273,11.558623,D,Unknown,232.0,48.129473,11.558732,,Unknown,236.0,48.129601,11.558908,C,Sendlinger Tor,775.0,48.133686,11.566219,,Müllerstraße,858.0,48.131121,11.571048,,Müllerstraße,960.0,48.131698,11.572164,,Kapuzinerplatz/Arbeitsagentur,189.0,48.126944,11.558417,,Kapuzinerplatz/Arbeitsagentur,198.0,48.126802,11.558418,,Maistraße,201.0,48.129295,11.562163,,81,C; D,100
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_09ffb8dd-ae18-4643-84e6-d19deb77711f,"Grundschule München, Turnerstraße 46",Turnerstr. 46,81827,München,,,Grundschulen,,,,,,48.112421,11.694569,"Turnerstr. 46, 81827 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,15,0,4,11,6,1,70,Gronsdorf,733.0,48.118365,11.698837,,,,,,,,,,,,,,,,,,,,,,,,,,,Turnerstraße,288.0,48.112061,11.690727,,Turnerstraße,301.0,48.111415,11.690803,,Turnerstraße,307.0,48.111392,11.690737,,30,,100
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_61f93ab0-7655-4544-8c89-9dc450e226a0,"Grundschule München, Waldmeisterstraße 38",Waldmeisterstr. 38,80935,München,,,Grundschulen,,,,,,48.196747,11.549775,"Waldmeisterstr. 38, 80935 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,23,0,2,21,7,3,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Irisstraße,293.0,48.196383,11.545861,,Irisstraße,317.0,48.196948,11.545507,,Goldlackplatz,385.0,48.200212,11.549847,,16,,80
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_2e47048d-3e4f-45f7-ad5d-c7c29ad108d8,"Grundschule München, Walliser Straße 5",Walliser Str. 5,81475,München,,,Grundschulen,,,,,,48.091949,11.482629,"Walliser Str. 5, 81475 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,33,0,2,31,12,7,34,Unknown,373.0,48.089059,11.480076,,Unknown,403.0,48.08871,11.480211,,Fürstenried West,420.0,48.088366,11.48083,U 3,,,,,,,,,,,,,,,,Bellinzonastraße,180.0,48.09326,11.481212,,Bellinzonastraße,202.0,48.093501,11.481228,,Tischlerstraße,385.0,48.095109,11.48051,,43,U 3,100
