schulnummer,schulname,strasse,plz,ort,website,email,school_type,traegerschaft,traeger,fax,phone,director,longitude,latitude,state,adresse,data_source,data_retrieved,bundesland,stadt,traffic_accidents_total,traffic_accidents_fatal,traffic_accidents_serious_injury,traffic_accidents_minor_injury,traffic_accidents_bicycle,traffic_accidents_pedestrian,traffic_safety_score,transit_rail_01_name,transit_rail_01_distance_m,transit_rail_01_latitude,transit_rail_01_longitude,transit_rail_01_lines,transit_rail_02_name,transit_rail_02_distance_m,transit_rail_02_latitude,transit_rail_02_longitude,transit_rail_02_lines,transit_rail_03_name,transit_rail_03_distance_m,transit_rail_03_latitude,transit_rail_03_longitude,transit_rail_03_lines,transit_tram_01_name,transit_tram_01_distance_m,transit_tram_01_latitude,transit_tram_01_longitude,transit_tram_01_lines,transit_tram_02_name,transit_tram_02_distance_m,transit_tram_02_latitude,transit_tram_02_longitude,transit_tram_02_lines,transit_tram_03_name,transit_tram_03_distance_m,transit_tram_03_latitude,transit_tram_03_longitude,transit_tram_03_lines,transit_bus_01_name,transit_bus_01_distance_m,transit_bus_01_latitude,transit_bus_01_longitude,transit_bus_01_lines,transit_bus_02_name,transit_bus_02_distance_m,transit_bus_02_latitude,transit_bus_02_longitude,transit_bus_02_lines,transit_bus_03_name,transit_bus_03_distance_m,transit_bus_03_latitude,transit_bus_03_longitude,transit_bus_03_lines,transit_stop_count_1000m,transit_all_lines_1000m,transit_accessibility_score,crime_stadt,crime_bezirk,crime_bezirk_population,crime_bezirk_index,crime_haeufigkeitszahl_2025,crime_aufklaerungsquote_2025,crime_straftaten_2025,crime_strassenraub_2025,crime_koerperverletzung_2025,crime_diebstahl_fahrrad_2025,crime_wohnungseinbruch_2025,crime_straftaten_2025_rate_per_100k,crime_strassenraub_2025_rate_per_100k,crime_koerperverletzung_2025_rate_per_100k,crime_diebstahl_fahrrad_2025_rate_per_100k,crime_wohnungseinbruch_2025_rate_per_100k,crime_safety_category,crime_data_source,crime_data_note
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_70623091-1dc6-4706-81df-5a7319a67cfa,Schule für Kranke München,"Kölner Platz 1, Haus 22",80804,München,,,Förderzentren,,,,,,,,BY,"Kölner Platz 1, Haus 22, 80804 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,München,,1505022,1.0,6061,65.5,91219,134,12076,5671,815,6061.0,8.9,802.4,376.8,54.2,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_afa95526-2dae-4f12-b300-49baad439d08,Sonderpädagogisches Förderzentrum München Süd,Boschetsrieder Str. 35,81379,München,,,Förderzentren,,,,,,11.5365066,48.0999173,BY,"Boschetsrieder Str. 35, 81379 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München,47,0,1,46,25,7,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,München,,1505022,1.0,6061,65.5,91219,134,12076,5671,815,6061.0,8.9,802.4,376.8,54.2,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_f1f0cf09-d9f1-40d0-bd37-1f430aacecb2,"Prof.-Otto-Speck-Schule Förderzentrum emot. und soz. Entwicklung, München",Dachauer Str. 96,80335,München,,,Förderzentren,,,,,,11.5579606,48.1520845,BY,"Dachauer Str. 96, 80335 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München,159,0,16,143,100,29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,München,,1505022,1.0,6061,65.5,91219,134,12076,5671,815,6061.0,8.9,802.4,376.8,54.2,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_d8bcc935-8b6a-4117-80a0-7d7f4d18d575,Sonderpädagogisches Förderzentrum München Süd-Ost Neuperlach,Gerhart-Hauptmann-Ring 15,81737,München,,,Förderzentren,,,,,,11.6535845,48.1013304,BY,"Gerhart-Hauptmann-Ring 15, 81737 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München,46,0,3,43,11,7,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,München,,1505022,1.0,6061,65.5,91219,134,12076,5671,815,6061.0,8.9,802.4,376.8,54.2,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
BY-SCHUL_SCHULSTANDORTEBERUFLICHESCHULEN_73562e30-7b70-403d-9484-4a5f99688ddd,Staatliche Berufsoberschule für Technik München,Orleansstr. 44,81667,München,,,Berufsoberschulen,,,,,,11.6018763,48.1264353,BY,"Orleansstr. 44, 81667 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München,117,0,1,116,63,21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,München,,1505022,1.0,6061,65.5,91219,134,12076,5671,815,6061.0,8.9,802.4,376.8,54.2,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_600ccc9f-014a-45f9-aefb-09e212af55ee,"Mittelschule München, Guardinistraße 60",Guardinistr. 60,81375,München,,,Mittelschulen,,,,,,11.494579,48.1186596,BY,"Guardinistr. 60, 81375 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München,19,0,2,17,13,2,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,München,,1505022,1.0,6061,65.5,91219,134,12076,5671,815,6061.0,8.9,802.4,376.8,54.2,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_154c18bb-6e37-4243-b2b2-5d193dbc1801,"Mittelschule München, Gerhart-Hauptmann-Ring 15",Gerhart-Hauptmann-Ring 15,81737,München,,,Mittelschulen,,,,,,11.6535845,48.1013304,BY,"Gerhart-Hauptmann-Ring 15, 81737 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München,46,0,3,43,11,7,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,München,,1505022,1.0,6061,65.5,91219,134,12076,5671,815,6061.0,8.9,802.4,376.8,54.2,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_7c9414c0-e69b-44db-adee-4824c56f57d7,"Sonderpädagogisches Förderzentrum München Mitte 2, An der Isar",Herrnstr. 21,80539,München,,,Förderzentren,,,,,,11.5813747,48.136613,BY,"Herrnstr. 21, 80539 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München,248,0,15,233,162,58,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,München,,1505022,1.0,6061,65.5,91219,134,12076,5671,815,6061.0,8.9,802.4,376.8,54.2,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_3bb535a1-5887-480f-93db-8a8646287969,"Carl-August-Heckscher-Schule, Förderschule und Schule für Kranke in München",Deisenhofener Str. 28,81539,München,,,Förderzentren,,,,,,11.5829079,48.1136911,BY,"Deisenhofener Str. 28, 81539 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München,120,0,11,109,66,15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,München,,1505022,1.0,6061,65.5,91219,134,12076,5671,815,6061.0,8.9,802.4,376.8,54.2,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_3fa85b1e-ed77-4cbc-b9ba-32c2165cc7e6,"Mittelschule München, Torquato-Tasso-Straße 38",Torquato-Tasso-Str. 38,80807,München,,,Mittelschulen,,,,,,11.5817456,48.1800923,BY,"Torquato-Tasso-Str. 38, 80807 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München,76,0,6,70,31,6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,München,,1505022,1.0,6061,65.5,91219,134,12076,5671,815,6061.0,8.9,802.4,376.8,54.2,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_f6c29785-ee6c-4d3c-b0dc-a9db529d0e5e,"Mittelschule München, Sambergerstraße 14",Sambergerstr. 14,81477,München,,,Mittelschulen,,,,,,11.5078634,48.0802935,BY,"Sambergerstr. 14, 81477 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München,27,0,4,23,14,6,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,München,,1505022,1.0,6061,65.5,91219,134,12076,5671,815,6061.0,8.9,802.4,376.8,54.2,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_a189cc2a-eecb-4463-825c-1aa84f7152b0,"Mittelschule München, Blumenauer Straße 11",Blumenauer Str. 11,80689,München,,,Mittelschulen,,,,,,11.4744182,48.1277319,BY,"Blumenauer Str. 11, 80689 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München,41,0,0,41,16,8,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,München,,1505022,1.0,6061,65.5,91219,134,12076,5671,815,6061.0,8.9,802.4,376.8,54.2,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_b04dbb2c-e499-401f-b7a2-43eb88da9e2c,"Mittelschule München, Feldbergstraße 85",Feldbergstr. 85,81825,München,,,Mittelschulen,,,,,,11.6679275,48.1181083,BY,"Feldbergstr. 85, 81825 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München,50,1,5,44,19,6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,München,,1505022,1.0,6061,65.5,91219,134,12076,5671,815,6061.0,8.9,802.4,376.8,54.2,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_9953a7cb-5d79-4c96-8cf5-2dd70cc141d7,"Mittelschule München, Franz-Nißl-Straße 55",Franz-Nißl-Str. 55,80999,München,,,Mittelschulen,,,,,,11.4610779,48.1935034,BY,"Franz-Nißl-Str. 55, 80999 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München,20,0,1,19,10,3,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,München,,1505022,1.0,6061,65.5,91219,134,12076,5671,815,6061.0,8.9,802.4,376.8,54.2,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_25b4363c-9a0c-404a-b543-7f93fa7533d2,"Mittelschule München, Führichstraße 53",Führichstr. 53,81671,München,,,Mittelschulen,,,,,,11.6157326,48.1159573,BY,"Führichstr. 53, 81671 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München,97,0,5,92,31,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,München,,1505022,1.0,6061,65.5,91219,134,12076,5671,815,6061.0,8.9,802.4,376.8,54.2,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_2e2eadd4-e366-4a06-9482-7aabe577cd53,"Mittelschule München, Fürstenrieder Straße 30",Fürstenrieder Str. 30,80686,München,,,Mittelschulen,,,,,,11.5021911,48.1391381,BY,"Fürstenrieder Str. 30, 80686 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München,127,0,10,117,51,18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,München,,1505022,1.0,6061,65.5,91219,134,12076,5671,815,6061.0,8.9,802.4,376.8,54.2,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_c2055711-26ac-4c86-974a-469cc561e126,"Mittelschule München, Haldenbergerstraße 27",Haldenbergerstr. 27,80997,München,,,Mittelschulen,,,,,,11.4896164,48.1763156,BY,"Haldenbergerstr. 27, 80997 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München,41,0,3,38,14,4,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,München,,1505022,1.0,6061,65.5,91219,134,12076,5671,815,6061.0,8.9,802.4,376.8,54.2,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_a7736c33-8661-4205-8b1e-c2e16609d87b,"Mittelschule München, Inzeller Weg 4",Inzeller Weg 4,81825,München,,,Mittelschulen,,,,,,11.6492302,48.1273947,BY,"Inzeller Weg 4, 81825 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München,64,1,3,60,27,6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,München,,1505022,1.0,6061,65.5,91219,134,12076,5671,815,6061.0,8.9,802.4,376.8,54.2,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_d58494a1-efd6-419c-87f9-58c9f84976e0,"Mittelschule München, Schrobenhausener Straße 15",Schrobenhausener Str. 15,80686,München,,,Mittelschulen,,,,,,11.5127487,48.1358793,BY,"Schrobenhausener Str. 15, 80686 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München,46,0,1,45,20,8,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,München,,1505022,1.0,6061,65.5,91219,134,12076,5671,815,6061.0,8.9,802.4,376.8,54.2,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_4810ee56-668a-4569-873d-3fe4370e674e,"Sonderpädagogisches Förderzentrum München Mitte 3, Am Westpark",Gilmstr. 46,81377,München,,,Förderzentren,,,,,,11.5068043,48.1201455,BY,"Gilmstr. 46, 81377 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München,52,1,5,46,27,7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,München,,1505022,1.0,6061,65.5,91219,134,12076,5671,815,6061.0,8.9,802.4,376.8,54.2,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
