schulnummer,schulname,strasse,plz,ort,website,email,school_type,traegerschaft,traeger,fax,phone,director,latitude,longitude,adresse,data_source,data_retrieved,bundesland,stadt,traffic_accidents_total,traffic_accidents_fatal,traffic_accidents_serious_injury,traffic_accidents_minor_injury,traffic_accidents_bicycle,traffic_accidents_pedestrian,traffic_safety_score,transit_rail_01_name,transit_rail_01_distance_m,transit_rail_01_latitude,transit_rail_01_longitude,transit_rail_01_lines,transit_rail_02_name,transit_rail_02_distance_m,transit_rail_02_latitude,transit_rail_02_longitude,transit_rail_02_lines,transit_rail_03_name,transit_rail_03_distance_m,transit_rail_03_latitude,transit_rail_03_longitude,transit_rail_03_lines,transit_tram_01_name,transit_tram_01_distance_m,transit_tram_01_latitude,transit_tram_01_longitude,transit_tram_01_lines,transit_tram_02_name,transit_tram_02_distance_m,transit_tram_02_latitude,transit_tram_02_longitude,transit_tram_02_lines,transit_tram_03_name,transit_tram_03_distance_m,transit_tram_03_latitude,transit_tram_03_longitude,transit_tram_03_lines,transit_bus_01_name,transit_bus_01_distance_m,transit_bus_01_latitude,transit_bus_01_longitude,transit_bus_01_lines,transit_bus_02_name,transit_bus_02_distance_m,transit_bus_02_latitude,transit_bus_02_longitude,transit_bus_02_lines,transit_bus_03_name,transit_bus_03_distance_m,transit_bus_03_latitude,transit_bus_03_longitude,transit_bus_03_lines,transit_stop_count_1000m,transit_all_lines_1000m,transit_accessibility_score,crime_stadt,crime_bezirk,crime_bezirk_population,crime_bezirk_index,crime_haeufigkeitszahl_2023,crime_aufklaerungsquote_2023,crime_straftaten_2023,crime_strassenraub_2023,crime_koerperverletzung_2023,crime_diebstahl_fahrrad_2023,crime_wohnungseinbruch_2023,crime_straftaten_2023_rate_per_100k,crime_strassenraub_2023_rate_per_100k,crime_koerperverletzung_2023_rate_per_100k,crime_diebstahl_fahrrad_2023_rate_per_100k,crime_wohnungseinbruch_2023_rate_per_100k,crime_safety_category,crime_data_source,crime_data_note
BY-SCHUL_SCHULSTANDORTEWEITERERSCHULEN_ece522cf-89fa-4d51-8ef3-d089a764bf22,Staatl. Wirtschaftsschule München an der Bayer. Landesschule für Körperbehinderte,Kurzstr. 2,81547,München,,,Wirtschaftsschulen,,,,,,48.104791,11.568608,"Kurzstr. 2, 81547 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München,19,0,1,18,8,4,62,Unknown,634.0,48.108531,11.575053,,Unknown,642.0,48.109106,11.574362,A,Wettersteinplatz,652.0,48.108206,11.57574,U1,Kurzstraße,95.0,48.104623,11.569862,,Südtiroler Straße,475.0,48.100725,11.566624,,Wettersteinplatz,680.0,48.10929,11.574805,,Kurzstraße,100.0,48.104983,11.56993,,Kurzstraße,106.0,48.104297,11.569835,,Lebschéestraße,429.0,48.107868,11.565124,,42,A; U1,100,München,,1512491,1.0,7684,62.9,116195,574,10127,7456,952,7682.4,38.0,669.6,493.0,62.9,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_4810ee56-668a-4569-873d-3fe4370e674e,"Sonderpädagogisches Förderzentrum München Mitte 3, Am Westpark",Gilmstr. 46,81377,München,,,Förderzentren,,,,,,48.120317,11.506646,"Gilmstr. 46, 81377 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München,53,0,6,47,26,6,0,Unknown,511.0,48.116472,11.502884,,Unknown,516.0,48.116497,11.502689,,Unknown,533.0,48.116534,11.502238,,Stegener Weg,629.0,48.125863,11.508282,,Ammerseestraße,726.0,48.126101,11.502117,,Ammerseestraße,740.0,48.126121,11.501766,,Andreas-Vöst-Straße,333.0,48.121452,11.502491,,Andreas-Vöst-Straße,336.0,48.121735,11.502649,,Holzapfelkreuth,511.0,48.11665,11.502493,,52,,100,München,,1512491,1.0,7684,62.9,116195,574,10127,7456,952,7682.4,38.0,669.6,493.0,62.9,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_127a5f60-ae93-49c9-a97d-37ab5be346ce,Sonderpädagogisches Förderzentrum Dachauer Straße 98 / Nadistraße / München Mitte 1,Dachauer Str. 98,80335,München,,,Förderzentren,,,,,,48.152414,11.556769,"Dachauer Str. 98, 80335 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München,127,0,13,114,74,23,0,Stiglmaierplatz,455.0,48.148379,11.555742,B,Stiglmaierplatz,503.0,48.147896,11.556977,,Stiglmaierplatz,505.0,48.147986,11.55528,A,Sandstraße,226.0,48.150596,11.558125,,Hochschule München (Lothstraße),263.0,48.154028,11.554177,2.0,Hochschule München (Lothstraße),339.0,48.154534,11.55348,1.0,Hochschule München (Lothstraße),297.0,48.154627,11.554517,5,Hochschule München (Lothstraße),300.0,48.154739,11.554718,4,Gaiglstraße,465.0,48.152462,11.550496,,69,1; 2; 4; 5; A; B,100,München,,1512491,1.0,7684,62.9,116195,574,10127,7456,952,7682.4,38.0,669.6,493.0,62.9,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_43fbc6df-81e6-400c-8b1b-36a11704a520,Sonderpädagogisches Förderzentrum Innsbrucker Ring/Berg-am-Laim-Str./ München Mitte 4,Innsbrucker Ring 75,81671,München,,,Förderzentren,,,,,,48.121844,11.621165,"Innsbrucker Ring 75, 81671 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München,70,0,5,65,29,9,0,Unknown,138.0,48.120642,11.620707,B,Unknown,156.0,48.120473,11.621608,C,Unknown,156.0,48.120678,11.619996,A,Schlüsselbergstraße,887.0,48.129742,11.622855,,Baumkirchner Straße,982.0,48.128457,11.629937,,,,,,,Bad-Schachener-Straße,321.0,48.11982,11.624241,,Bad-Schachener-Straße,333.0,48.119957,11.624643,,Grafinger Straße,336.0,48.124628,11.619409,,59,A; B; C,100,München,,1512491,1.0,7684,62.9,116195,574,10127,7456,952,7682.4,38.0,669.6,493.0,62.9,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_cc5eb992-2032-460a-8db0-c63d9c8d2656,Sonderpädagogisches Förderzentrum München-Ost an der Astrid-Lindgren-Str. 5,Astrid-Lindgren-Str. 5,81829,München,,,Förderzentren,,,,,,48.131243,11.70631,"Astrid-Lindgren-Str. 5, 81829 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München,15,0,0,15,9,5,70,Unknown,238.0,48.13311,11.704732,,Unknown,292.0,48.133385,11.704036,,Unknown,294.0,48.133655,11.704684,,,,,,,,,,,,,,,,,Messestadt Ost,282.0,48.133219,11.703926,,Messestadt Ost,287.0,48.133569,11.704645,,Messestadt Ost,290.0,48.133614,11.704681,,39,,100,München,,1512491,1.0,7684,62.9,116195,574,10127,7456,952,7682.4,38.0,669.6,493.0,62.9,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_7375aaed-3037-42f5-be96-bbfe1cba24d3,"Mathilde-Eller-Schule, Förderzentrum mit Förderschwerpunkt geist. Entw. München",Klenzestr. 27,80469,München,,,Förderzentren,,,,,,48.132196,11.577172,"Klenzestr. 27, 80469 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München,255,0,21,234,146,61,0,Unknown,357.0,48.130178,11.573439,B,Fraunhoferstraße,383.0,48.129429,11.574103,,Unknown,386.0,48.130089,11.573032,A,Reichenbachplatz,126.0,48.133296,11.576738,,Reichenbachplatz,130.0,48.133288,11.576564,,Müllerstraße,376.0,48.131698,11.572164,,Gärtnerplatztheater,129.0,48.132123,11.575443,,Gärtnerplatztheater,151.0,48.132333,11.575151,,Baaderstraße,252.0,48.130062,11.578318,,100,A; B,100,München,,1512491,1.0,7684,62.9,116195,574,10127,7456,952,7682.4,38.0,669.6,493.0,62.9,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_9f389ef5-e340-4dc6-a32b-588736928eab,Sonderpädagogisches Förderzentrum München Nord-Ost,Rothpletzstr. 40,80937,München,,,Förderzentren,,,,,,48.198188,11.581562,"Rothpletzstr. 40, 80937 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München,67,0,6,61,25,11,0,Unknown,716.0,48.196839,11.572112,,Unknown,743.0,48.196919,11.571721,,Unknown,753.0,48.195162,11.572469,,,,,,,,,,,,,,,,,Kollwitzstraße,230.0,48.197901,11.584638,,Kollwitzstraße,255.0,48.198621,11.584941,,Gundelkoferstraße,277.0,48.195867,11.582926,,45,,100,München,,1512491,1.0,7684,62.9,116195,574,10127,7456,952,7682.4,38.0,669.6,493.0,62.9,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_f531af60-8835-4a84-9920-85b6cbe48b39,Sonderpädagogisches Förderzentrum München-West,Helmut-Schmidt-Allee 45,81249,München,,,Förderzentren,,,,,,48.141849,11.404531,"Helmut-Schmidt-Allee 45, 81249 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München,20,0,3,17,8,4,60,Freiham,459.0,48.140008,11.41007,,,,,,,,,,,,,,,,,,,,,,,,,,,Bildungscampus Freiham,88.0,48.141701,11.403368,,Bildungscampus Freiham,99.0,48.141279,11.403499,,Helmut-Schmidt-Allee,234.0,48.14241,11.407569,,41,,100,München,,1512491,1.0,7684,62.9,116195,574,10127,7456,952,7682.4,38.0,669.6,493.0,62.9,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_70623091-1dc6-4706-81df-5a7319a67cfa,Schule für Kranke München,"Kölner Platz 1, Haus 22",80804,München,,,Förderzentren,,,,,,48.170628,11.577609,"Kölner Platz 1, Haus 22, 80804 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München,54,1,4,49,30,4,0,Unknown,286.0,48.170538,11.573761,E,Unknown,337.0,48.170939,11.573087,D,Scheidplatz (F),350.0,48.170549,11.572888,F,Kölner Platz,59.0,48.170101,11.577542,,Kölner Platz,64.0,48.170116,11.577227,,Scheidplatz,244.0,48.170198,11.574386,7.0,Kölner Platz,57.0,48.170118,11.577537,,Kölner Platz,65.0,48.170098,11.577231,,Scheidplatz,244.0,48.170189,11.574385,7,71,7; D; E; F,100,München,,1512491,1.0,7684,62.9,116195,574,10127,7456,952,7682.4,38.0,669.6,493.0,62.9,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_afa95526-2dae-4f12-b300-49baad439d08,Sonderpädagogisches Förderzentrum München Süd,Boschetsrieder Str. 35,81379,München,,,Förderzentren,,,,,,48.099961,11.536227,"Boschetsrieder Str. 35, 81379 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München,57,0,0,57,30,5,0,August-Zeune-Weg,166.0,48.098557,11.536982,,"Tölzer Straße, Bus",193.0,48.098635,11.537894,,Obersendling,193.0,48.098233,11.535934,,,,,,,,,,,,,,,,,Tölzer Straße,118.0,48.100386,11.537684,,Tölzer Straße,148.0,48.099949,11.53822,,Tölzer Straße,171.0,48.100695,11.538251,,74,,100,München,,1512491,1.0,7684,62.9,116195,574,10127,7456,952,7682.4,38.0,669.6,493.0,62.9,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
